Date,Open,High,Low,Close,Volume,ticker,asset_class
2015-07-15,9.86086,11.8258,9.85494,11.8258,9650.1121111687,ALTY,alt
2015-07-16,9.91124,9.95965,9.87963,9.95965,2606.6336605748,ALTY,alt
2015-07-17,10.019,10.019,9.85494,9.8737,15356.362186765,ALTY,alt
2015-07-20,9.84703,9.84703,9.81048,9.81048,10137.021156114,ALTY,alt
2015-07-21,9.78183,9.78183,9.75615,9.75615,5679.9306677612,ALTY,alt
2015-07-23,9.83024,9.83024,9.63958,9.63958,5984.6284276963,ALTY,alt
2015-07-24,9.5566,9.56648,9.50819,9.56648,1684.4421014355,ALTY,alt
2015-07-27,9.52498,9.52498,9.51709,9.51709,1999.2627105379,ALTY,alt
2015-07-28,9.53092,9.53092,9.53092,9.53092,297.61176551805,ALTY,alt
2015-07-29,9.62871,9.68699,9.3773,9.3773,38382.807187578,ALTY,alt
2015-07-31,9.68699,9.6949,9.66526,9.6949,2918.417414927,ALTY,alt
2015-08-03,9.81048,9.81048,9.6949,9.6949,1320.0195314134,ALTY,alt
2015-08-05,9.64452,9.64452,9.64452,9.64452,163.99015650995,ALTY,alt
2015-08-06,9.63563,9.63563,9.54277,9.61982,2310.0341799735,ALTY,alt
2015-08-07,9.61982,9.61982,9.57833,9.57833,2759.4886830007,ALTY,alt
2015-08-10,9.6139,9.69984,9.57833,9.69984,4764.825103039,ALTY,alt
2015-08-11,9.6781,9.6781,9.6781,9.6781,349.23829627118,ALTY,alt
2015-08-13,9.71169,9.71169,9.70676,9.70676,767.31196687988,ALTY,alt
2015-08-14,9.71169,9.71169,9.71169,9.71169,458.56506727782,ALTY,alt
2015-08-21,9.54771,9.54771,9.48152,9.50424,1999.2627105379,ALTY,alt
2015-08-24,9.22794,9.53684,8.72126,9.20264,9983.1538487722,ALTY,alt
2015-08-25,9.22794,9.22794,9.22794,9.22794,163.99015650995,ALTY,alt
2015-08-26,9.26419,9.26419,9.26419,9.26419,163.99015650995,ALTY,alt
2015-08-27,9.34786,9.37147,9.34786,9.37147,622.55522378776,ALTY,alt
2015-08-28,9.40644,9.41434,9.40644,9.40644,914.09327980545,ALTY,alt
2015-08-31,9.38471,9.41434,9.23268,9.38471,6906.8199868356,ALTY,alt
