Date,Open,High,Low,Close,Volume,ticker,asset_class
2008-01-24,30.921,30.921,30.885,30.885,937,BJK,alt
2008-01-25,31.181,33.611,31.109,33.611,1071,BJK,alt
2008-01-28,31.996,31.996,30.57,31.07,5218,BJK,alt
2008-01-29,31.362,31.362,31.259,31.331,8561,BJK,alt
2008-01-30,31.362,32.118,31.362,31.676,10168,BJK,alt
2008-01-31,31.181,32.004,31.181,32.004,9633,BJK,alt
2008-02-01,33.545,33.545,32.379,32.602,5618,BJK,alt
2008-02-04,32.52,32.52,32.379,32.379,3879,BJK,alt
2008-02-05,31.818,31.855,31.706,31.706,4283,BJK,alt
2008-02-06,31.706,31.818,31.548,31.555,2140,BJK,alt
2008-02-07,31.429,31.669,31.145,31.669,2408,BJK,alt
2008-02-08,31.669,31.669,31.639,31.669,668,BJK,alt
2008-02-11,31.331,31.623,31.318,31.623,668,BJK,alt
2008-02-12,31.967,32.266,31.967,32.118,1872,BJK,alt
2008-02-13,32.297,32.304,32.043,32.043,2140,BJK,alt
2008-02-14,32.37,32.379,32.266,32.266,4547,BJK,alt
2008-02-15,31.736,31.736,31.736,31.736,267,BJK,alt
2008-02-19,32.019,32.043,31.93,32.043,1472,BJK,alt
2008-02-20,31.37,31.444,31.37,31.444,802,BJK,alt
2008-02-21,31.945,31.945,31.429,31.429,1205,BJK,alt
2008-02-22,31.52,31.52,31.407,31.407,1205,BJK,alt
2008-02-25,31.706,32.08,31.706,32.08,2140,BJK,alt
2008-02-26,32.379,32.417,32.326,32.417,2408,BJK,alt
2008-02-27,32.118,32.489,32.118,32.379,2944,BJK,alt
2008-02-28,32.043,32.118,31.833,31.892,5354,BJK,alt
2008-02-29,31.324,31.444,31.22,31.22,2542,BJK,alt
2008-03-03,30.645,30.645,29.911,30.563,4414,BJK,alt
2008-03-04,30.615,30.615,29.135,29.911,5486,BJK,alt
2008-03-05,30.174,30.548,30.174,30.458,2140,BJK,alt
2008-03-06,30.51,30.51,30.422,30.422,533,BJK,alt
2008-03-07,29.576,29.576,29.576,29.576,267,BJK,alt
2008-03-11,29.874,29.874,29.65,29.83,1472,BJK,alt
2008-03-12,29.92,29.92,29.673,29.673,1872,BJK,alt
2008-03-13,29.462,29.673,29.389,29.471,1605,BJK,alt
2008-03-14,29.412,29.412,29.412,29.412,533,BJK,alt
2008-03-17,28.187,28.79,28.162,28.619,2408,BJK,alt
2008-03-18,27.236,29.044,26.868,29.044,802,BJK,alt
2008-03-19,29.053,29.127,29.053,29.09,904,BJK,alt
2008-03-20,28.949,28.949,28.672,28.672,2901,BJK,alt
2008-03-24,29.838,29.838,29.515,29.515,937,BJK,alt
2008-03-25,30.367,30.367,29.53,30.106,4547,BJK,alt
2008-03-26,31.347,31.347,30.309,30.359,1337,BJK,alt
2008-03-27,30.63,30.684,30.464,30.464,533,BJK,alt
2008-03-28,29.874,29.92,29.606,29.606,1337,BJK,alt
2008-03-31,29.396,29.396,29.315,29.315,1205,BJK,alt
2008-04-01,29.838,30.054,29.838,30.054,1205,BJK,alt
2008-04-02,30.354,30.436,30.354,30.436,937,BJK,alt
2008-04-03,30.316,30.443,30.316,30.376,2208,BJK,alt
2008-04-04,30.248,30.622,30.248,30.622,1205,BJK,alt
2008-04-07,30.532,30.622,30.486,30.622,2408,BJK,alt
2008-04-08,30.159,30.248,30.159,30.248,533,BJK,alt
2008-04-09,30.203,30.203,30.203,30.203,402,BJK,alt
2008-04-10,30.248,30.248,30.248,30.248,1472,BJK,alt
2008-04-14,28.933,28.933,28.574,28.574,402,BJK,alt
2008-04-15,28.005,28.379,27.641,28.192,4815,BJK,alt
2008-04-16,28.283,28.516,28.283,28.516,1739,BJK,alt
2008-04-17,28.388,28.41,28.388,28.41,533,BJK,alt
2008-04-18,27.715,28.207,27.715,28.125,555,BJK,alt
2008-04-21,28.192,28.207,28.17,28.207,402,BJK,alt
2008-04-22,28.446,28.979,28.207,28.604,8028,BJK,alt
2008-04-23,28.686,29.023,27.938,28.679,3745,BJK,alt
2008-04-24,28.014,28.828,27.983,28.828,5502,BJK,alt
2008-04-25,28.828,28.828,28.379,28.379,668,BJK,alt
2008-04-28,28.611,28.611,28.611,28.611,134,BJK,alt
2008-04-29,28.679,28.679,22.833,28.604,17870,BJK,alt
2008-04-30,28.724,28.924,28.724,28.924,1472,BJK,alt
2008-05-01,29.599,29.599,28.298,28.553,917,BJK,alt
2008-05-05,28.508,28.79,28.455,28.455,937,BJK,alt
2008-05-06,28.566,28.633,28.566,28.633,533,BJK,alt
2008-05-07,29.008,29.008,29.008,29.008,134,BJK,alt
2008-05-08,29.501,29.501,28.679,28.679,1205,BJK,alt
2008-05-09,28.439,28.439,28.439,28.439,201,BJK,alt
2008-05-12,28.574,28.574,28.574,28.574,134,BJK,alt
2008-05-13,28.663,28.716,28.663,28.716,402,BJK,alt
2008-05-14,28.835,28.835,28.778,28.778,350,BJK,alt
2008-05-15,29.053,29.053,29.053,29.053,533,BJK,alt
2008-05-16,29.404,29.404,29.404,29.404,267,BJK,alt
2008-05-19,29.882,29.889,29.726,29.726,4283,BJK,alt
2008-05-20,28.941,28.979,28.455,28.903,3614,BJK,alt
2008-05-21,29.127,29.127,29.127,29.127,937,BJK,alt
2008-05-22,28.754,28.754,28.379,28.679,1739,BJK,alt
2008-05-23,28.045,28.192,28.045,28.192,668,BJK,alt
2008-05-27,27.82,28.192,27.82,28.192,533,BJK,alt
2008-05-28,27.82,27.82,27.715,27.715,769,BJK,alt
2008-05-29,28.47,28.47,28.379,28.379,402,BJK,alt
2008-05-30,28.461,28.461,27.715,27.715,668,BJK,alt
2008-06-02,28.395,28.461,28.005,28.461,533,BJK,alt
2008-06-03,28.23,28.23,28.045,28.045,1565,BJK,alt
2008-06-04,28.083,28.119,27.715,28.119,996,BJK,alt
2008-06-06,28.215,28.215,28.119,28.119,1739,BJK,alt
2008-06-09,29.344,29.344,27.125,27.125,1724,BJK,alt
2008-06-10,26.892,26.892,25.622,26.085,16589,BJK,alt
2008-06-11,26.294,26.294,25.846,25.846,3879,BJK,alt
2008-06-12,25.922,25.959,25.794,25.959,533,BJK,alt
2008-06-13,26.137,26.137,26.137,26.137,402,BJK,alt
2008-06-16,25.829,25.959,25.586,25.628,7957,BJK,alt
2008-06-17,25.959,25.959,25.593,25.653,1605,BJK,alt
2008-06-18,25.653,25.658,25.487,25.658,802,BJK,alt
2008-06-19,25.653,25.653,25.061,25.465,2173,BJK,alt
2008-06-20,25.396,25.622,25.024,25.622,533,BJK,alt
2008-06-23,25.547,25.547,25.547,25.547,267,BJK,alt
2008-06-24,24.874,24.881,24.278,24.874,2308,BJK,alt
2008-06-25,25.465,25.465,24.465,24.465,2944,BJK,alt
2008-06-26,23.791,24.53,23.791,24.278,1357,BJK,alt
2008-06-27,23.902,23.902,23.902,23.902,267,BJK,alt
2008-06-30,23.902,24.65,23.581,23.581,6789,BJK,alt
2008-07-01,23.522,23.603,23.38,23.53,4615,BJK,alt
2008-07-02,24.194,24.278,23.603,23.708,10129,BJK,alt
