Date,Open,High,Low,Close,Volume,ticker,asset_class
2019-11-01,15.705,15.775,15.642,15.775,5519,BUG,alt
2019-11-04,15.834,15.864,15.755,15.755,6658,BUG,alt
2019-11-05,15.725,15.725,15.725,15.725,262,BUG,alt
2019-11-06,15.844,15.864,15.781,15.864,5304,BUG,alt
2019-11-07,15.844,15.844,15.844,15.844,707,BUG,alt
2019-11-08,16.022,16.179,16.022,16.179,875,BUG,alt
2019-11-11,17.607,17.607,15.983,16.25,5088,BUG,alt
2019-11-12,16.23,16.398,16.23,16.398,1455,BUG,alt
2019-11-13,16.408,16.477,16.408,16.439,967,BUG,alt
2019-11-14,16.575,16.575,16.487,16.508,3107,BUG,alt
2019-11-15,16.576,16.596,16.544,16.576,1840,BUG,alt
2019-11-18,16.676,16.782,16.527,16.74,6716,BUG,alt
2019-11-19,16.874,16.998,16.864,16.958,6818,BUG,alt
2019-11-20,16.923,17.05,16.834,16.834,1822,BUG,alt
2019-11-21,16.923,16.952,16.816,16.869,5266,BUG,alt
2019-11-22,16.929,16.929,16.864,16.874,2498,BUG,alt
2019-11-25,16.923,17.147,16.923,17.12,2485,BUG,alt
2019-11-26,17.053,17.053,16.954,16.993,1504,BUG,alt
2019-11-27,17.003,17.068,16.973,17.068,2951,BUG,alt
2019-11-29,17.023,17.101,17.003,17.072,863,BUG,alt
2019-12-02,17.13,17.13,16.726,16.79,3206,BUG,alt
2019-12-03,16.656,16.736,16.576,16.736,2386,BUG,alt
2019-12-04,16.755,16.755,16.706,16.711,6008,BUG,alt
2019-12-05,16.716,16.716,16.653,16.653,1984,BUG,alt
2019-12-06,16.626,16.626,16.626,16.626,396,BUG,alt
2019-12-09,16.527,16.527,16.488,16.488,2944,BUG,alt
2019-12-10,16.524,16.57,16.443,16.443,1593,BUG,alt
2019-12-11,16.398,16.418,16.27,16.324,2998,BUG,alt
2019-12-12,16.329,16.329,16.319,16.32,2936,BUG,alt
2019-12-13,16.423,16.498,16.423,16.498,274,BUG,alt
2019-12-16,16.626,16.626,16.576,16.611,948,BUG,alt
2019-12-17,16.576,16.576,16.541,16.547,1922,BUG,alt
2019-12-18,16.543,16.562,16.542,16.542,759,BUG,alt
2019-12-19,16.656,16.666,16.656,16.666,665,BUG,alt
2019-12-20,16.617,16.617,16.537,16.537,369,BUG,alt
2019-12-23,16.686,16.686,16.626,16.649,990,BUG,alt
2019-12-24,16.713,16.713,16.639,16.696,1748,BUG,alt
2019-12-26,16.785,16.807,16.763,16.765,13823,BUG,alt
2019-12-27,16.636,16.686,16.616,16.671,1839,BUG,alt
2019-12-30,16.745,16.745,16.408,16.468,6365,BUG,alt
2019-12-31,16.517,16.527,16.453,16.483,2293,BUG,alt
2020-01-02,16.578,16.785,16.578,16.728,6075,BUG,alt
2020-01-03,16.625,16.814,16.625,16.795,1213,BUG,alt
2020-01-06,16.914,17.191,16.809,17.156,12364,BUG,alt
2020-01-07,17.191,17.289,17.164,17.251,21485,BUG,alt
2020-01-08,17.271,17.483,17.257,17.419,36597,BUG,alt
2020-01-09,17.568,17.568,17.439,17.469,21656,BUG,alt
2020-01-10,17.633,17.648,17.488,17.528,23174,BUG,alt
2020-01-13,17.648,17.845,17.608,17.802,11056,BUG,alt
2020-01-14,17.845,17.885,17.579,17.781,23672,BUG,alt
2020-01-15,17.796,18.056,17.796,17.916,8401,BUG,alt
2020-01-16,18.053,18.132,17.954,18.093,19273,BUG,alt
2020-01-17,18.29,18.29,17.868,17.969,17776,BUG,alt
2020-01-21,18.073,18.083,17.915,17.915,10615,BUG,alt
2020-01-22,18.043,18.152,17.935,17.955,7181,BUG,alt
2020-01-23,17.974,18.063,17.91,17.95,5075,BUG,alt
2020-01-24,18.103,18.182,17.899,17.945,12084,BUG,alt
2020-01-27,17.706,17.726,17.447,17.558,8057,BUG,alt
2020-01-28,17.568,17.686,17.568,17.634,7563,BUG,alt
2020-01-29,17.696,17.726,17.608,17.647,9135,BUG,alt
2020-01-30,17.528,17.638,17.439,17.638,7731,BUG,alt
2020-01-31,17.726,17.726,17.38,17.439,6464,BUG,alt
2020-02-03,17.638,17.638,17.398,17.586,4421,BUG,alt
2020-02-04,17.746,17.969,17.726,17.961,3944,BUG,alt
2020-02-05,18.27,18.27,17.855,17.898,8068,BUG,alt
2020-02-06,17.944,18.063,17.944,18.014,5050,BUG,alt
