Date,Open,High,Low,Close,Volume
2006-02-03,21.963,22.604,21.729,22.322,1112069
2006-02-06,22.37,22.468,21.963,22.05,793895
2006-02-07,21.914,22.05,21.37,21.418,693976
2006-02-08,21.409,21.574,21.263,21.321,345136
2006-02-09,21.467,21.71,21.428,21.525,726390
2006-02-10,21.554,21.584,21.049,21.137,284732
2006-02-13,21.137,21.137,20.748,20.806,244497
2006-02-14,20.777,20.806,20.602,20.631,263842
2006-02-15,20.69,20.709,20.262,20.33,416550
2006-02-16,20.349,20.612,20.271,20.573,477057
2006-02-17,20.699,20.884,20.67,20.864,481276
2006-02-21,21.283,21.321,21.049,21.215,734828
2006-02-22,21.097,21.233,20.826,20.864,559687
2006-02-23,20.826,21.049,20.631,20.796,391442
2006-02-24,21.137,21.37,20.962,21.36,550838
2006-02-27,21.137,21.185,20.884,20.942,683788
2006-02-28,21,21.233,20.836,21.223,596527
2006-03-01,21.215,21.215,21,21.175,278352
2006-03-02,21.283,21.612,21.205,21.564,911615
2006-03-03,21.662,21.768,21.467,21.758,373434
2006-03-06,21.642,21.642,21.185,21.418,605376
2006-03-07,21.223,21.273,20.932,21.039,351207
2006-03-08,20.758,20.864,20.534,20.699,250774
2006-03-09,20.826,20.952,20.709,20.913,425091
2006-03-10,20.709,20.903,20.534,20.826,410376
2006-03-13,20.826,21.107,20.68,21.097,338345
2006-03-14,21.088,21.438,21.03,21.409,341328
2006-03-15,21.389,21.448,21.107,21.165,583356
2006-03-16,21.165,21.399,21.039,21.35,660739
2006-03-17,21.389,21.428,21.185,21.253,333611
2006-03-20,21.156,21.283,20.738,20.816,509883
2006-03-21,20.777,20.991,20.641,20.884,424165
2006-03-22,20.962,21,20.738,20.845,292038
2006-03-23,20.913,21.205,20.777,21.205,231017
2006-03-24,21.156,21.311,21.078,21.156,319822
2006-03-27,21.215,21.35,21.137,21.283,151576
2006-03-28,21.311,21.574,21.311,21.564,365510
2006-03-29,21.525,21.71,21.457,21.71,328877
2006-03-30,21.71,22.031,21.71,21.973,621223
2006-03-31,21.817,21.933,21.594,21.817,414286
2006-04-03,22.031,22.176,21.865,21.914,418197
2006-04-04,21.817,21.865,21.642,21.797,207246
2006-04-05,21.865,22.05,21.826,21.933,305930
2006-04-06,22.167,22.38,22.167,22.322,637894
2006-04-07,22.186,22.264,22.011,22.225,427664
2006-04-10,22.497,22.643,22.332,22.633,511529
2006-04-11,22.643,22.74,22.42,22.731,553514
2006-04-12,22.711,22.857,22.555,22.681,532727
2006-04-13,22.555,22.827,22.458,22.827,239969
2006-04-17,22.963,23.1,22.857,23.07,541886
2006-04-18,23.128,23.43,23.06,23.372,912541
2006-04-19,23.41,23.693,23.284,23.605,574712
2006-04-20,23.585,23.585,23.051,23.333,658681
2006-04-21,23.391,23.886,23.246,23.819,575227
2006-04-24,23.683,23.77,23.294,23.342,495888
2006-04-25,23.537,23.605,23.255,23.42,566685
2006-04-26,23.449,23.605,23.284,23.333,508237
2006-04-27,23.187,23.246,22.895,22.963,439497
2006-04-28,23.187,23.479,23.109,23.342,466973
2006-05-01,23.459,23.741,23.391,23.605,588294
2006-05-02,23.819,23.916,23.673,23.877,531287
2006-05-03,23.867,23.896,23.333,23.449,434250
2006-05-04,23.323,23.507,23.012,23.168,458432
2006-05-05,23.352,23.479,23.236,23.42,388252
2006-05-08,23.148,23.352,22.915,23.352,352854
2006-05-09,23.547,23.877,23.507,23.721,1198508
2006-05-10,23.809,24.314,23.721,24.314,779591
2006-05-11,24.762,24.762,24.431,24.547,1067718
2006-05-12,24.606,24.742,24.353,24.469,1070291
2006-05-15,23.799,23.886,23.507,23.634,705090
2006-05-16,23.643,23.954,23.517,23.711,619989
2006-05-17,23.916,23.916,23.352,23.673,807889
2006-05-18,23.595,23.693,23.449,23.683,270737
2006-05-19,23.284,23.333,22.963,23.168,745942
2006-05-22,22.876,23.352,22.876,23.342,888976
2006-05-23,23.625,23.936,23.557,23.711,879921
2006-05-24,23.449,23.517,23.012,23.109,414390
2006-05-25,23.187,23.507,23.109,23.507,333611
2006-05-26,23.575,23.877,23.459,23.741,343078
2006-05-30,23.809,23.848,23.479,23.615,441864
2006-05-31,23.469,23.547,22.993,23.255,347296
2006-06-01,22.963,23.255,22.691,22.973,601776
2006-06-02,23.148,23.566,23.051,23.43,359439
2006-06-05,23.479,23.625,23.284,23.362,506384
2006-06-06,23.148,23.236,22.963,23.168,338550
2006-06-07,23.051,23.1,22.876,23.012,181932
2006-06-08,22.789,22.837,22.506,22.759,743678
2006-06-09,22.915,23.051,22.779,22.799,353779
2006-06-12,22.944,23.041,22.458,22.526,372919
2006-06-13,22.147,22.37,21.865,21.914,926741
2006-06-14,21.914,22.099,21.865,21.904,273413
2006-06-15,22.147,22.264,22.021,22.147,297492
2006-06-16,22.059,22.186,21.865,22.186,208275
2006-06-19,21.953,22.021,21.72,21.778,183373
2006-06-20,21.875,22.001,21.778,21.963,327231
2006-06-21,21.914,22.322,21.846,22.283,310869
2006-06-22,22.264,22.352,22.157,22.274,176890
2006-06-23,22.069,22.322,22.069,22.225,155795
2006-06-26,22.235,22.506,22.05,22.468,154766
2006-06-27,22.488,22.662,22.342,22.555,234413
2006-06-28,22.478,22.575,22.264,22.458,211466
2006-06-29,22.565,22.954,22.536,22.954,356352
2006-06-30,23.041,23.187,23.041,23.051,417373
2006-07-03,23.372,23.683,23.168,23.663,148694
