Date,Open,High,Low,Close,Volume,ticker,asset_class
2005-02-25,87.328,88.1403,87.2361,88.0903,6125395.4822348,DIA,equity
2005-02-28,87.8885,88.5988,87.2012,87.5548,9170607.932376,DIA,equity
2005-03-01,87.6138,88.1911,87.6138,87.9864,6535595.8539027,DIA,equity
2005-03-02,87.6488,88.363,87.5958,87.8555,9378899.865757,DIA,equity
2005-03-03,88.1403,88.345,87.4998,88.0033,10162849.520751,DIA,equity
2005-03-04,88.5448,89.1103,88.3261,89.0463,7518262.7001461,DIA,equity
2005-03-07,88.9234,89.2821,88.8525,88.8805,5071296.9555121,DIA,equity
2005-03-08,88.8435,89.0263,88.5798,88.7446,9246577.2298008,DIA,equity
2005-03-09,88.4819,88.8046,87.8016,87.8096,6212905.5221623,DIA,equity
2005-03-10,87.9664,88.402,87.5958,88.1831,6401196.1045201,DIA,equity
2005-03-11,88.1911,88.4629,87.5078,87.6707,4283052.9310726,DIA,equity
2005-03-14,87.7556,87.9315,87.456,87.9135,4266111.6936613,DIA,equity
2005-03-15,88.1123,88.1831,87.401,87.446,4819307.5607323,DIA,equity
2005-03-16,86.9495,87.0783,86.327,86.453,8020154.3660942,DIA,equity
2005-03-17,86.6288,86.7267,86.2082,86.407,5494256.3092201,DIA,equity
2005-03-18,86.4799,86.5298,85.7157,86.1412,13142376.136711,DIA,equity
2005-03-21,86.2082,86.2702,85.5459,85.6987,8988574.7167787,DIA,equity
2005-03-22,85.7987,86.2002,84.9624,84.9874,8682458.2486532,DIA,equity
2005-03-23,85.0114,85.8076,84.7237,84.8875,9106284.4843983,DIA,equity
2005-03-24,85.1382,85.4929,84.8356,84.9115,6209233.7862355,DIA,equity
2005-03-28,85.0414,85.5459,85.0114,85.1702,6104776.5027857,DIA,equity
2005-03-29,85.0474,85.4769,84.436,84.6089,9407620.0880784,DIA,equity
2005-03-30,84.7537,85.6737,84.6977,85.6308,6947393.8511266,DIA,equity
2005-03-31,85.5009,85.6168,85.2042,85.358,9074245.8856873,DIA,equity
2005-04-01,85.7067,85.8615,84.3391,84.5929,9512189.4856022,DIA,equity
2005-04-04,84.6169,85.2202,84.1104,84.7307,14189362.426858,DIA,equity
2005-04-05,84.7887,85.1044,84.6737,85.0334,5400121.5287355,DIA,equity
2005-04-06,85.2042,85.5549,85.1382,85.383,5569376.7429409,DIA,equity
2005-04-07,85.2132,85.8305,85.1622,85.7837,4729212.8909894,DIA,equity
2005-04-08,85.7247,85.7987,84.9774,84.9934,4484954.3622299,DIA,equity
2005-04-11,85.1952,85.2132,84.8606,84.9375,3913474.8919139,DIA,equity
2005-04-12,84.7147,85.6018,84.1952,85.358,11258923.75702,DIA,equity
2005-04-13,85.3031,85.5379,84.3471,84.5339,10040473.004797,DIA,equity
2005-04-14,84.6318,84.6887,83.2402,83.2482,13430583.382517,DIA,equity
2005-04-15,83.0944,83.4131,81.7967,81.8586,14965947.58861,DIA,equity
2005-04-18,81.7967,82.1203,81.3931,81.7418,15963469.549671,DIA,equity
2005-04-19,82.1203,82.515,81.9415,82.3121,9372637.4939037,DIA,equity
2005-04-20,82.523,82.7418,81.2113,81.4151,14773124.394399,DIA,equity
2005-04-21,82.0724,83.1593,81.8466,83.0224,9022330.0622494,DIA,equity
2005-04-22,82.8396,83.0544,81.7967,82.7816,7582581.1430312,DIA,equity
2005-04-25,82.9635,83.3961,82.8236,83.2482,5685247.6395416,DIA,equity
2005-04-26,82.9715,83.4301,82.456,82.523,7460451.8786514,DIA,equity
2005-04-27,82.1973,83.0624,81.8936,82.8396,12813067.070524,DIA,equity
2005-04-28,82.6278,82.7816,81.7288,81.7288,8696574.6118046,DIA,equity
2005-04-29,82.3601,82.9056,81.6638,82.8236,12529532.579163,DIA,equity
2005-05-02,83.1183,83.4131,82.8056,83.3961,6565668.452243,DIA,equity
2005-05-03,83.1843,83.8026,82.9635,83.6498,8738427.1960734,DIA,equity
2005-05-04,83.7447,84.4949,83.4699,84.3621,10808955.922658,DIA,equity
2005-05-05,84.3941,84.6169,83.7297,84.1443,10853504.249798,DIA,equity
2005-05-06,84.4869,84.5929,84.0594,84.0854,6609121.6651233,DIA,equity
