Date,Open,High,Low,Close,Volume,ticker,asset_class
2010-07-23,29.7256,29.9989,29.7256,29.9642,841.58392276471,EMLC,bond
2010-07-26,30.2107,30.5551,30.2107,30.4957,17083.244357777,EMLC,bond
2010-07-27,30.8916,30.8916,30.4492,30.5284,651344.53372189,EMLC,bond
2010-07-28,30.568,30.5779,30.3582,30.4562,187536.82362458,EMLC,bond
2010-07-29,30.1018,30.4799,30.1018,30.37,56902.388592982,EMLC,bond
2010-07-30,30.3928,30.4196,30.3067,30.3928,64260.438664405,EMLC,bond
2010-08-02,30.4324,30.4957,30.37,30.3928,127794.46815658,EMLC,bond
2010-08-03,30.5443,30.5443,30.4403,30.4957,45690.025597973,EMLC,bond
2010-08-04,30.5443,30.5443,30.468,30.4957,70313.174896438,EMLC,bond
2010-08-05,30.6125,30.6125,30.468,30.5175,84397.834521003,EMLC,bond
2010-08-06,30.6373,30.6373,30.5284,30.6125,41003.221495085,EMLC,bond
2010-08-09,30.7679,30.7679,30.6462,30.7481,193155.12878003,EMLC,bond
2010-08-10,30.7363,30.7363,30.6769,30.7204,43228.923033921,EMLC,bond
2010-08-11,30.5551,30.568,30.3304,30.3304,75105.050701568,EMLC,bond
2010-08-12,30.2958,30.4957,30.1187,30.1187,15453.622668198,EMLC,bond
2010-08-13,30.3582,30.4403,30.1978,30.2374,20875.928686779,EMLC,bond
2010-08-16,30.382,30.3928,30.283,30.3186,20624.362784296,EMLC,bond
2010-08-17,30.5175,30.6125,30.5175,30.6125,16829.657845636,EMLC,bond
2010-08-18,30.6877,30.6877,30.6245,30.6611,12069.101490213,EMLC,bond
2010-08-19,30.6877,30.7877,30.5897,30.6245,8485.5502608653,EMLC,bond
2010-08-20,30.5443,30.5997,30.4799,30.5997,22501.509157042,EMLC,bond
2010-08-23,30.6373,30.7066,30.4403,30.5175,40557.677065386,EMLC,bond
2010-08-24,30.4403,30.5779,30.4324,30.5779,82987.448979371,EMLC,bond
2010-08-25,30.5175,30.5443,30.4562,30.5443,87306.502124412,EMLC,bond
2010-08-26,30.6462,30.6987,30.5997,30.6125,182011.46651341,EMLC,bond
2010-08-27,30.5897,30.6611,30.4957,30.6373,29129.108836917,EMLC,bond
2010-08-30,30.568,30.6611,30.5175,30.5284,19333.193212516,EMLC,bond
2010-08-31,30.5521,30.5521,30.3472,30.3632,88660.310595606,EMLC,bond
2010-09-01,30.5897,30.6462,30.4492,30.5779,11929.679423776,EMLC,bond
2010-09-02,30.5443,30.6125,30.5443,30.5897,36663.962253459,EMLC,bond
2010-09-03,30.6769,30.7481,30.6245,30.7481,25521.310291668,EMLC,bond
2010-09-07,30.6611,30.7679,30.6462,30.6769,37061.012051354,EMLC,bond
2010-09-08,30.7066,30.7066,30.4492,30.4562,30029.290439779,EMLC,bond
2010-09-09,30.7066,30.7363,30.6125,30.6462,14865.625257575,EMLC,bond
2010-09-10,30.7363,30.7768,30.6125,30.7768,17496.45903294,EMLC,bond
2010-09-13,30.8234,30.9916,30.7986,30.9808,12040.812954994,EMLC,bond
2010-09-14,30.9669,31.2015,30.9036,31.1887,17541.922750257,EMLC,bond
2010-09-15,31.1035,31.1887,31.0609,31.0609,42929.872804464,EMLC,bond
2010-09-16,31.1322,31.1322,31.0144,31.0609,48079.396519148,EMLC,bond
2010-09-17,31.0728,31.1035,31.0273,31.0609,19213.977242664,EMLC,bond
2010-09-20,31.1203,31.2015,31.0728,31.1887,62957.145434674,EMLC,bond
2010-09-21,31.2421,31.3203,31.1887,31.3203,76523.518681834,EMLC,bond
2010-09-22,31.4103,31.64,31.345,31.5796,546284.95513791,EMLC,bond
2010-09-23,31.434,31.4707,31.3895,31.4202,44907.039355305,EMLC,bond
2010-09-24,31.5568,31.5934,31.4974,31.5568,35882.996620449,EMLC,bond
2010-09-27,31.7479,31.7479,31.6172,31.6281,88007.653675911,EMLC,bond
2010-09-28,31.7063,31.7617,31.6172,31.7479,24963.622025922,EMLC,bond
2010-09-29,31.8637,31.8637,31.7379,31.7775,48249.127730461,EMLC,bond
2010-09-30,31.8478,31.8963,31.7379,31.8339,47888.448906419,EMLC,bond
2010-10-01,32.1072,32.1072,31.9112,31.9587,134133.12065529,EMLC,bond
2010-10-04,32.0141,32.0696,31.8637,31.8943,90434.405875768,EMLC,bond
2010-10-05,32.0864,32.1992,32.0141,32.1992,84523.11231983,EMLC,bond
2010-10-06,32.3427,32.4961,31.5479,32.2863,160582.90108504,EMLC,bond
2010-10-07,32.4882,32.4882,32.2863,32.3527,54920.170517995,EMLC,bond
2010-10-08,32.3179,32.4882,32.3179,32.4387,34752.465516519,EMLC,bond
2010-10-11,32.1438,32.3863,32.1438,32.3179,43475.437412258,EMLC,bond
2010-10-12,32.3179,32.4387,32.2734,32.3981,80156.574847815,EMLC,bond
2010-10-13,32.5446,32.6426,32.4655,32.6328,52672.242272915,EMLC,bond
2010-10-14,32.7436,32.7921,32.6426,32.7436,62022.613467618,EMLC,bond
2010-10-15,32.6694,32.7198,32.5614,32.5842,65543.525797552,EMLC,bond
2010-10-18,32.4961,32.5734,32.4387,32.5347,46502.310680689,EMLC,bond
2010-10-19,32.4961,32.4961,32.2734,32.3645,67685.372035561,EMLC,bond
2010-10-20,32.4279,32.4279,32.3645,32.3645,50273.778608277,EMLC,bond
