Date,Open,High,Low,Close,Volume,ticker,asset_class
2018-10-19,29.87,29.87,29.368,29.368,8927,ESPO,alt
2018-10-22,29.6,29.61,29.394,29.488,9942,ESPO,alt
2018-10-23,28.724,29.113,28.486,29.072,6591,ESPO,alt
2018-10-24,28.704,28.704,27.618,27.618,14793,ESPO,alt
2018-10-25,27.53,28.131,27.53,27.997,2218,ESPO,alt
2018-10-26,27.112,27.513,26.962,27.181,4121,ESPO,alt
2018-10-29,27.48,27.57,26.145,26.145,54244,ESPO,alt
2018-10-30,26.594,26.852,26.594,26.662,4794,ESPO,alt
2018-10-31,27.618,27.852,27.56,27.777,8620,ESPO,alt
2018-11-01,28.136,28.644,28.136,28.644,6511,ESPO,alt
2018-11-02,29.242,29.272,28.729,28.872,3552,ESPO,alt
2018-11-05,28.833,28.833,28.436,28.574,4446,ESPO,alt
2018-11-06,28.535,28.783,28.535,28.634,7733,ESPO,alt
2018-11-07,29.122,29.5,29.072,29.447,6764,ESPO,alt
2018-11-08,29.362,29.51,29.022,29.027,2472,ESPO,alt
2018-11-09,28.066,28.066,27.737,27.737,6042,ESPO,alt
2018-11-12,27.707,27.707,27.112,27.112,3012,ESPO,alt
2018-11-13,27.478,27.674,27.321,27.371,7319,ESPO,alt
2018-11-14,27.687,27.727,27.44,27.48,2886,ESPO,alt
2018-11-15,27.717,28.007,27.717,27.987,2281,ESPO,alt
2018-11-16,27.092,27.361,27.092,27.361,12540,ESPO,alt
2018-11-19,27.284,27.284,26.634,26.634,2964,ESPO,alt
2018-11-20,25.777,26.314,25.777,26.125,3133,ESPO,alt
2018-11-21,26.653,26.733,26.653,26.733,643,ESPO,alt
2018-11-23,26.624,26.624,26.554,26.554,379,ESPO,alt
2018-11-26,27.181,27.201,27.092,27.092,409,ESPO,alt
2018-11-27,27.092,27.241,27.019,27.241,1334,ESPO,alt
2018-11-28,27.82,28.045,27.82,28.045,2283,ESPO,alt
2018-11-29,28.196,28.381,28.195,28.246,3004,ESPO,alt
2018-11-30,28.076,28.106,28.076,28.082,619,ESPO,alt
2018-12-03,28.783,28.783,28.436,28.436,911,ESPO,alt
2018-12-04,28.216,28.336,27.52,27.52,8276,ESPO,alt
2018-12-06,26.723,27.371,26.574,27.371,8430,ESPO,alt
2018-12-07,27.677,27.677,27.032,27.032,1715,ESPO,alt
2018-12-10,26.932,27.124,26.932,27.124,696,ESPO,alt
2018-12-11,27.53,27.53,27.131,27.201,9087,ESPO,alt
2018-12-12,27.46,27.72,27.46,27.524,5552,ESPO,alt
