Date,Open,High,Low,Close,Volume,ticker,asset_class
2025-06-06,50.31,52.31,50.0284,50.6889,10728,FFUT,alt
2025-06-09,52.98,52.98,50.21,50.466,6361,FFUT,alt
2025-06-10,50.7,50.72,50.5,50.5594,13280,FFUT,alt
2025-06-11,52.67,52.67,50.436,50.55,2396,FFUT,alt
2025-06-12,50.48,50.75,50.44,50.4551,2773,FFUT,alt
2025-06-13,50.3955,50.4,50.35,50.385,5180,FFUT,alt
2025-06-16,50.5,50.62,50.31,50.31,1732,FFUT,alt
2025-06-17,50.57,50.57,50.29,50.29,154,FFUT,alt
2025-06-18,50.3084,50.3099,50.29,50.295,978,FFUT,alt
2025-06-20,50.44,50.44,50.115,50.115,2041,FFUT,alt
2025-06-23,50.029,50.029,50.0,50.015,1301,FFUT,alt
2025-06-24,50.085,50.085,50.0105,50.07,2119,FFUT,alt
2025-06-25,50.38,50.47,50.2282,50.235,1750,FFUT,alt
2025-06-27,50.39,50.71,50.36,50.4,563,FFUT,alt
2025-07-01,50.57,50.91,50.57,50.91,484,FFUT,alt
2025-07-02,51.58,51.58,51.0,51.015,11343,FFUT,alt
2025-07-03,51.5,51.5,51.11,51.146,3796,FFUT,alt
2025-07-07,51.2,51.42,51.05,51.13,881,FFUT,alt
2025-07-09,51.06,51.15,51.04,51.085,1479,FFUT,alt
2025-07-10,51.0499,51.0499,51.02,51.02,1879,FFUT,alt
2025-07-11,51.72,51.72,51.0,51.16,6631,FFUT,alt
2025-07-14,51.0,51.1,51.0,51.02,3823,FFUT,alt
2025-07-15,51.04,51.04,50.44,50.61,6750,FFUT,alt
2025-07-17,50.86,50.975,50.86,50.975,2459,FFUT,alt
2025-07-18,50.8684,50.95,50.8143,50.8143,787,FFUT,alt
2025-07-21,50.8282,50.8282,50.81,50.81,175,FFUT,alt
2025-07-22,50.999,51.089,50.9,51.045,3874,FFUT,alt
2025-07-23,51.335,51.41,51.335,51.405,484,FFUT,alt
2025-07-24,52.64,52.64,51.4252,51.4252,2279,FFUT,alt
2025-07-25,51.225,51.225,51.18,51.18,290,FFUT,alt
2025-07-28,51.16,51.215,51.16,51.215,411,FFUT,alt
2025-07-29,50.85,51.0476,50.85,50.865,424,FFUT,alt
2025-07-30,50.79,50.835,50.79,50.835,212,FFUT,alt
2025-07-31,51.64,51.64,50.225,50.225,2400,FFUT,alt
2025-08-01,50.075,50.075,50.075,50.075,759,FFUT,alt
2025-08-04,50.0706,50.175,50.0706,50.175,606,FFUT,alt
2025-08-06,51.01,51.01,50.33,50.33,277,FFUT,alt
2025-08-07,50.6598,50.6678,50.6598,50.6678,307,FFUT,alt
2025-08-08,50.98,51.12,50.8,50.9,4383,FFUT,alt
2025-08-11,51.07,51.21,51.07,51.125,1171,FFUT,alt
2025-08-12,50.52,50.98,50.49,50.61,1329,FFUT,alt
2025-08-13,50.93,50.95,50.9246,50.95,1170,FFUT,alt
2025-08-14,50.84,51.37,50.2801,50.945,4687,FFUT,alt
2025-08-15,50.81,51.43,50.58,50.62,5522,FFUT,alt
2025-08-18,50.97,51.29,50.97,51.135,1665,FFUT,alt
2025-08-19,51.08,51.29,50.945,50.945,1348,FFUT,alt
2025-08-20,51.12,51.23,51.095,51.095,1051,FFUT,alt
2025-08-21,51.1,51.3,51.0999,51.1354,2081,FFUT,alt
2025-08-22,51.09,51.35,51.09,51.145,1121,FFUT,alt
2025-08-25,51.41,51.45,51.32,51.32,1708,FFUT,alt
2025-08-26,51.27,51.34,51.1842,51.19,2770,FFUT,alt
2025-08-27,50.895,51.0592,50.89,50.94,1803,FFUT,alt
2025-08-28,50.95,51.02,50.91,51.02,1194,FFUT,alt
2025-08-29,51.2,51.2,51.02,51.05,2424,FFUT,alt
2025-09-02,51.16,51.18,50.9901,51.18,1036,FFUT,alt
2025-09-03,51.09,51.26,50.93,50.96,1790,FFUT,alt
2025-09-04,51.054,51.1,51.054,51.1,177,FFUT,alt
2025-09-05,50.9681,51.19,50.9,51.155,4009,FFUT,alt
2025-09-08,51.4,51.45,51.361,51.45,1376,FFUT,alt
2025-09-09,51.44,51.63,51.4082,51.415,2686,FFUT,alt
2025-09-10,51.64,51.64,51.64,51.64,157,FFUT,alt
2025-09-17,52.1765,52.1765,52.17,52.17,403,FFUT,alt
2025-09-19,52.17,52.27,52.17,52.195,337,FFUT,alt
2025-09-22,52.22,52.22,52.0612,52.17,495,FFUT,alt
2025-09-23,52.12,52.37,51.975,51.975,5295,FFUT,alt
2025-09-25,51.93,52.04,51.77,52.04,2738,FFUT,alt
2025-09-26,51.97,52.21,51.86,51.935,808,FFUT,alt
2025-09-29,51.96,52.09,51.83,51.95,1810,FFUT,alt
2025-09-30,52.0086,52.355,52.0086,52.355,1498,FFUT,alt
2025-10-01,52.44,52.4414,52.3716,52.4414,716,FFUT,alt
2025-10-02,52.56,52.56,52.4311,52.475,782,FFUT,alt
2025-10-03,52.53,52.595,51.81,52.595,5281,FFUT,alt
2025-10-06,52.08,52.825,52.08,52.825,1205,FFUT,alt
2025-10-07,52.85,52.85,52.66,52.74,4867,FFUT,alt
2025-10-08,52.82,55.82,52.82,52.905,1694,FFUT,alt
2025-10-09,53.0065,53.12,52.915,52.915,1611,FFUT,alt
2025-10-10,52.72,52.83,51.68,52.17,3793,FFUT,alt
2025-10-13,52.77,53.65,52.69,53.59,2222,FFUT,alt
2025-10-14,52.1,52.79,51.95,52.79,3522,FFUT,alt
2025-10-15,52.51,52.665,52.38,52.49,8266,FFUT,alt
2025-10-16,52.8199,52.95,52.56,52.56,1143,FFUT,alt
2025-10-17,52.79,52.915,52.79,52.915,647,FFUT,alt
2025-10-20,52.91,53.0909,52.91,52.98,4130,FFUT,alt
2025-10-21,52.77,53.1699,52.77,53.08,7120,FFUT,alt
2025-10-22,52.95,52.97,52.755,52.775,2644,FFUT,alt
2025-10-23,53.2896,53.2896,52.94,53.015,3322,FFUT,alt
2025-10-24,53.307,53.307,53.25,53.2534,657,FFUT,alt
2025-10-28,53.37,53.5,53.275,53.395,2100,FFUT,alt
2025-10-29,53.4,53.4,53.07,53.1114,1277,FFUT,alt
2025-10-30,53.1748,53.1748,53.125,53.125,509,FFUT,alt
2025-10-31,53.16,53.16,52.87,53.075,3173,FFUT,alt
2025-11-03,53.0,53.21,53.0,53.125,4588,FFUT,alt
2025-11-04,52.93,52.95,52.63,52.63,1307,FFUT,alt
2025-11-05,53.29,53.29,52.64,52.72,4495,FFUT,alt
2025-11-06,52.915,53.02,52.7,52.7,1860,FFUT,alt
2025-11-07,52.64,52.98,52.64,52.81,1808,FFUT,alt
2025-11-10,53.26,53.5454,53.2,53.5454,2328,FFUT,alt
2025-11-11,53.51,53.895,53.51,53.895,3213,FFUT,alt
2025-11-12,54.013,54.19,54.013,54.065,1842,FFUT,alt
2025-11-13,53.71,53.8,53.37,53.715,3153,FFUT,alt
2025-11-14,53.31,54.71,53.19,53.84,6232,FFUT,alt
2025-11-17,53.99,53.99,53.245,53.4464,3420,FFUT,alt
2025-11-18,53.19,53.319,52.84,53.09,3308,FFUT,alt
2025-11-19,53.05,53.22,53.05,53.215,3023,FFUT,alt
2025-11-20,53.29,53.385,52.67,52.88,3769,FFUT,alt
2025-11-21,52.9,52.905,52.47,52.9,1857,FFUT,alt
2025-11-24,52.62,52.82,52.62,52.795,3057,FFUT,alt
2025-11-25,52.78,52.925,52.76,52.925,2026,FFUT,alt
2025-11-26,53.0,53.2876,53.0,53.26,3006,FFUT,alt
2025-11-28,53.56,53.5665,53.45,53.565,2720,FFUT,alt
2025-12-01,53.6,54.935,53.508,54.935,2630,FFUT,alt
2025-12-02,53.7375,53.7375,53.64,53.715,1141,FFUT,alt
2025-12-04,53.9375,53.97,53.9375,53.97,299,FFUT,alt
2025-12-05,54.3399,54.345,54.285,54.345,525,FFUT,alt
2025-12-08,54.39,55.0025,54.2,54.2,4748,FFUT,alt
2025-12-09,53.95,54.14,53.855,54.055,2047,FFUT,alt
2025-12-10,53.99,54.26,53.92,54.19,3956,FFUT,alt
2025-12-11,54.24,54.36,53.89,53.89,2750,FFUT,alt
2025-12-12,54.27,54.279,53.9399,54.105,1858046,FFUT,alt
2025-12-15,54.0799,54.0799,54.02,54.02,301,FFUT,alt
2025-12-16,53.9297,53.9297,53.89,53.915,1376,FFUT,alt
2025-12-17,53.99,54.025,53.961,54.025,564,FFUT,alt
2025-12-18,54.15,54.159,53.975,53.975,4194,FFUT,alt
2025-12-19,53.97,53.97,52.69,52.995,2787,FFUT,alt
2025-12-22,53.3,53.4599,53.21,53.38,6680,FFUT,alt
2025-12-23,53.46,53.46,53.08,53.225,2670,FFUT,alt
2025-12-24,53.45,53.45,53.105,53.11,1936,FFUT,alt
2025-12-26,53.58,53.605,53.39,53.605,1490,FFUT,alt
2025-12-29,53.34,53.35,53.12,53.155,1661,FFUT,alt
2025-12-30,53.1908,53.1908,53.175,53.175,393,FFUT,alt
2025-12-31,53.2546,53.5,53.2546,53.43,3085,FFUT,alt
2026-01-02,53.65,53.7321,53.6499,53.7321,4442,FFUT,alt
2026-01-05,54.16,54.16,54.1125,54.125,2157,FFUT,alt
2026-01-06,54.39,54.59,54.2998,54.315,2034,FFUT,alt
2026-01-07,54.255,54.259,54.165,54.165,4443,FFUT,alt
2026-01-08,54.1789,54.275,54.1789,54.275,1501,FFUT,alt
2026-01-09,55.59,55.59,54.8,54.835,2013,FFUT,alt
2026-01-12,54.889,55.04,54.889,55.04,2082,FFUT,alt
2026-01-13,55.14,55.182,55.09,55.182,927,FFUT,alt
2026-01-14,55.6,55.6099,55.22,55.4016,14759,FFUT,alt
2026-01-15,55.53,55.73,55.515,55.515,5089,FFUT,alt
2026-01-16,55.32,55.3499,55.2382,55.27,6999,FFUT,alt
2026-01-20,54.28,54.81,54.24,54.47,13642,FFUT,alt
2026-01-21,54.57,54.87,54.535,54.535,1684,FFUT,alt
2026-01-22,54.89,55.0,54.89,55.0,1179,FFUT,alt
2026-01-23,54.98,55.51,54.92,55.115,2944,FFUT,alt
2026-01-26,55.51,55.51,54.63,54.79,5896,FFUT,alt
2026-01-27,54.965,55.31,54.965,55.235,2157,FFUT,alt
2026-01-28,56.09,56.09,55.46,55.655,3131,FFUT,alt
2026-01-29,56.41,57.85,55.575,55.92,13538,FFUT,alt
2026-01-30,55.81,55.81,54.14,55.395,8623,FFUT,alt
2026-02-02,54.8,55.26,54.77,55.07,8410,FFUT,alt
2026-02-03,55.1,55.2099,54.97,54.97,7901,FFUT,alt
2026-02-04,55.2,55.26,55.0,55.175,3559,FFUT,alt
2026-02-05,54.52,54.75,54.425,54.425,4945,FFUT,alt
