Date,Open,High,Low,Close,Volume,ticker,asset_class
2012-03-07,22.1568,22.1568,22.1568,22.1568,439.70397566061,GOVT,bond
2012-03-08,22.104,22.1747,22.104,22.1747,2932.3637280928,GOVT,bond
2012-03-09,22.1568,22.1747,22.1488,22.1488,306.1865583938,GOVT,bond
2012-03-14,21.9317,21.9317,21.9317,21.9317,100.38903553895,GOVT,bond
2012-03-15,21.9157,21.9157,21.842,21.842,13005114.449211,GOVT,bond
2012-03-16,21.7982,21.8699,21.7892,21.8699,106335.07811393,GOVT,bond
2012-03-19,21.852,21.852,21.7076,21.7494,120435.72204572,GOVT,bond
2012-03-20,21.8609,21.8609,21.7176,21.7982,140199.31147228,GOVT,bond
2012-03-21,21.8161,21.842,21.7982,21.8331,97640.383745894,GOVT,bond
2012-03-22,21.8609,21.8609,21.8161,21.8609,110861.61972638,GOVT,bond
2012-03-23,21.8969,21.9057,21.7982,21.8969,102470.10024567,GOVT,bond
2012-03-26,21.8609,21.8969,21.852,21.8969,107286.76617084,GOVT,bond
2012-03-27,21.9317,21.9397,21.7424,21.8879,170129.29852786,GOVT,bond
2012-03-28,21.8789,21.9466,21.8331,21.9237,126582.54269178,GOVT,bond
2012-03-29,21.9466,21.9745,21.9317,21.9745,108462.32177699,GOVT,bond
2012-03-30,21.9725,21.9825,21.8669,21.9127,45308.583409795,GOVT,bond
2012-04-02,21.9317,21.9397,21.8969,21.9397,94245.226563967,GOVT,bond
2012-04-03,21.9317,21.9566,21.7982,21.8331,85314.617962423,GOVT,bond
2012-04-04,21.9057,21.9057,21.8699,21.8879,94932.89145741,GOVT,bond
2012-04-05,21.9157,21.9566,21.7344,21.9466,108956.23583184,GOVT,bond
2012-04-09,22.094,22.104,22.0472,22.094,120078.33707921,GOVT,bond
2012-04-10,22.1488,22.1648,22.113,22.1319,103724.96318991,GOVT,bond
2012-04-11,22.113,22.113,22.0662,22.113,94919.840882789,GOVT,bond
2012-04-12,22.085,22.113,22.0662,22.085,160416.65933947,GOVT,bond
2012-04-13,22.113,22.1568,22.113,22.1568,76121.993978121,GOVT,bond
2012-04-16,22.1847,22.1947,22.1319,22.1319,96147.59878743,GOVT,bond
2012-04-17,22.113,22.1568,22.113,22.1568,98078.079940845,GOVT,bond
