Date,Open,High,Low,Close,Volume,ticker,asset_class
2010-07-23,27.1603,27.7838,27.0384,27.7479,268997.28353754,LIT,alt
2010-07-26,28.1076,28.4533,27.7659,28.3674,95810.322610371,LIT,alt
2010-07-27,28.885,28.885,28.1456,28.2655,100919.39250117,LIT,alt
2010-07-28,28.4533,28.4533,27.9357,28.1625,176871.89635086,LIT,alt
2010-07-29,28.885,29.1967,28.5742,29.0069,145327.76826307,LIT,alt
2010-07-30,28.867,28.9369,28.3674,28.7471,62300.628750686,LIT,alt
2010-08-02,29.3166,29.4225,29.0418,29.4036,58817.85436871,LIT,alt
2010-08-03,29.4036,29.6793,29.2127,29.4375,49549.471164262,LIT,alt
2010-08-04,29.8172,29.8172,29.3696,29.7663,104591.31756079,LIT,alt
2010-08-05,29.8692,30.1799,29.7663,30.057,82450.680304337,LIT,alt
2010-08-06,30.1799,30.1799,29.5085,29.8012,80683.272385208,LIT,alt
2010-08-09,30.4038,30.4038,29.7473,29.9541,53347.496675641,LIT,alt
2010-08-10,29.6624,29.7833,29.3166,29.6444,102836.92000573,LIT,alt
2010-08-11,28.799,29.1118,28.1076,28.1945,108581.49614152,LIT,alt
2010-08-12,27.9018,28.3674,27.593,28.1945,46419.978206665,LIT,alt
2010-08-13,28.1625,28.3184,27.9537,27.9727,91384.797231894,LIT,alt
2010-08-16,27.9877,28.2825,27.7659,28.1456,15452.309326928,LIT,alt
2010-08-17,28.5223,29.1967,28.4533,29.0069,37748.070154992,LIT,alt
2010-08-18,29.3166,29.3166,28.9559,29.0938,13760.96199775,LIT,alt
2010-08-19,29.1458,29.1458,28.2984,28.5742,32988.278499624,LIT,alt
2010-08-20,28.2984,28.3354,27.9177,28.3354,33116.380545858,LIT,alt
2010-08-23,28.5932,28.9199,28.2135,28.2984,22569.979270782,LIT,alt
2010-08-24,27.7998,28.2135,27.54,27.6949,73893.863934827,LIT,alt
2010-08-25,27.6949,27.6949,26.9705,27.629,67528.793512595,LIT,alt
2010-08-26,27.9177,27.9727,27.4541,27.54,23972.096198699,LIT,alt
2010-08-27,27.9727,28.1076,27.4022,28.1076,46802.282750893,LIT,alt
2010-08-30,28.0566,28.1456,27.9177,27.9727,35290.112142884,LIT,alt
2010-08-31,28.2984,28.2984,27.6779,27.7998,20991.722029295,LIT,alt
2010-09-01,28.4723,28.7141,28.3854,28.6781,36984.461863771,LIT,alt
2010-09-02,28.9559,29.2127,28.853,29.2127,20420.266807425,LIT,alt
2010-09-03,29.6284,29.6284,29.3356,29.5414,21198.887057188,LIT,alt
2010-09-07,30.163,30.163,29.3536,29.6793,38385.577994451,LIT,alt
2010-09-08,30.043,30.1969,29.7313,29.8012,61881.294708718,LIT,alt
2010-09-09,30.043,30.1969,29.8542,29.9022,34849.761358956,LIT,alt
2010-09-10,30.043,30.075,29.8342,29.9901,27294.743022883,LIT,alt
2010-09-13,30.5077,30.8184,30.3018,30.8184,60556.23916799,LIT,alt
2010-09-14,30.9223,31.2161,30.6815,31.0462,36117.771457222,LIT,alt
2010-09-15,30.8534,31.1632,30.6266,30.8534,49475.412168783,LIT,alt
2010-09-16,30.7835,31.0093,30.6456,30.9923,16979.525909369,LIT,alt
2010-09-17,31.4239,31.4389,30.9223,31.1632,57071.463191541,LIT,alt
2010-09-20,31.302,31.8176,31.2341,31.7667,63074.245014269,LIT,alt
2010-09-21,32.0794,32.0794,31.4919,31.5429,148086.96624328,LIT,alt
2010-09-22,31.6997,31.8026,31.389,31.4559,59520.414028523,LIT,alt
2010-09-23,31.319,31.6118,31.0622,31.1452,41324.91947717,LIT,alt
2010-09-24,31.6298,31.9046,31.372,31.8176,69341.237307353,LIT,alt
2010-09-27,31.8886,32.3192,31.8886,32.2153,68666.699970154,LIT,alt
2010-09-28,32.4072,32.4731,31.8346,32.4242,56919.342011639,LIT,alt
2010-09-29,32.58,32.58,32.0634,32.1124,45793.479136803,LIT,alt
2010-09-30,32.4581,32.4581,31.7327,32.0794,63801.824604986,LIT,alt
2010-10-01,32.6819,32.6819,32.0934,32.2003,23965.090618045,LIT,alt
2010-10-04,32.2343,32.2693,31.6638,31.7667,62933.132603965,LIT,alt
2010-10-05,32.2693,32.5091,31.8886,32.4072,57460.773316423,LIT,alt
2010-10-06,32.3002,32.5261,32.2343,32.3732,53827.879349017,LIT,alt
2010-10-07,32.5091,32.7849,32.0435,32.2153,78155.258566567,LIT,alt
2010-10-08,32.4731,33.2195,32.4731,33.1306,91936.236509041,LIT,alt
2010-10-11,33.3204,33.6312,33.2335,33.4084,140850.20142832,LIT,alt
2010-10-12,33.4413,33.7351,33.0287,33.6642,129880.46292233,LIT,alt
2010-10-13,34.1478,34.4096,33.9939,34.2697,194283.76666627,LIT,alt
2010-10-14,34.3746,34.4435,34.0628,34.3906,72462.723887061,LIT,alt
2010-10-15,35.0291,35.0291,34.0628,34.2347,67828.031886219,LIT,alt
2010-10-18,34.1837,34.4775,33.9429,34.4236,100271.87668935,LIT,alt
2010-10-19,33.9779,34.0978,33.4234,33.6492,108863.72096213,LIT,alt
2010-10-20,34.1478,34.4775,33.7701,34.3047,108391.34466664,LIT,alt
2010-10-21,34.8202,34.8202,33.82,34.1478,73825.809722765,LIT,alt
2010-10-22,34.4236,34.5465,33.9429,34.0289,52374.721762055,LIT,alt
2010-10-25,34.7903,34.7903,34.4605,34.6324,63611.673130108,LIT,alt
2010-10-26,34.5974,34.7703,34.2187,34.7023,45670.381076751,LIT,alt
2010-10-27,34.5974,34.5974,33.872,34.2187,63097.263350701,LIT,alt
2010-10-28,34.4096,34.7903,34.4096,34.4605,37965.243155247,LIT,alt
2010-10-29,34.5105,34.5105,34.2517,34.3216,49287.262288378,LIT,alt
2010-11-01,34.6674,34.7193,34.0798,34.1837,49219.208076316,LIT,alt
2010-11-02,34.8053,34.8053,34.4236,34.6134,52061.472227124,LIT,alt
2010-11-03,34.7363,34.7363,34.1658,34.5624,66292.808925888,LIT,alt
2010-11-04,34.7903,35.7355,34.7903,35.4437,103270.26520901,LIT,alt
2010-11-05,35.5636,36.2381,35.5636,36.2381,99535.289923507,LIT,alt
2010-11-08,36.2711,36.5139,36.0632,36.427,139940.47674061,LIT,alt
2010-11-09,36.5818,36.7557,35.3718,35.5796,159416.9917543,LIT,alt
2010-11-10,35.8065,35.8234,34.8742,35.7695,84194.069089797,LIT,alt
2010-11-11,35.5467,35.9443,35.3718,35.7875,131224.53361054,LIT,alt
2010-11-12,35.6336,35.6336,34.8202,35.099,109820.48311993,LIT,alt
2010-11-15,35.3218,35.4078,34.7703,34.7903,138265.14216721,LIT,alt
2010-11-16,34.5974,34.7363,33.5792,33.891,162441.40100209,LIT,alt
2010-11-17,33.854,34.3047,33.854,34.1478,54431.360082446,LIT,alt
2010-11-18,34.7903,35.15,34.6833,35.0121,51554.068028371,LIT,alt
2010-11-19,34.8562,35.099,34.6324,35.099,24289.348922574,LIT,alt
2010-11-22,35.4078,35.4607,35.0291,35.4268,70954.522452108,LIT,alt
2010-11-23,34.9931,35.182,34.6833,34.7543,31171.831515921,LIT,alt
2010-11-24,35.2529,35.7515,35.081,35.6826,184096.65159899,LIT,alt
2010-11-26,35.3568,35.9593,35.3568,35.7515,102184.40020773,LIT,alt
2010-11-29,35.7875,35.9593,35.3388,35.7875,111804.06324208,LIT,alt
2010-11-30,35.5297,36.0293,34.9431,34.9621,84772.529892321,LIT,alt
2010-12-01,35.4947,35.7695,35.4268,35.6176,163844.51872725,LIT,alt
2010-12-02,35.7515,36.2711,35.6336,36.2021,106318.69359047,LIT,alt
2010-12-03,36.1332,36.357,35.8914,36.2901,57147.523781492,LIT,alt
2010-12-06,36.6518,36.6518,36.2711,36.4419,91088.561249979,LIT,alt
2010-12-07,37.1334,37.1334,36.5638,36.6348,83583.582775715,LIT,alt
2010-12-08,36.9795,36.9795,36.409,36.5988,93563.532815102,LIT,alt
2010-12-09,36.8756,37.1694,36.4789,36.6878,174593.08104403,LIT,alt
2010-12-10,36.7707,36.8906,36.5818,36.8226,49009.040656714,LIT,alt
2010-12-13,37.2723,37.4461,36.7707,36.8906,223191.79483391,LIT,alt
2010-12-14,37.0814,37.0814,36.5818,36.6708,73764.761091357,LIT,alt
2010-12-15,36.8226,37.0475,36.6878,36.7557,166345.51102051,LIT,alt
2010-12-16,36.6708,37.1694,36.3081,36.7887,121193.54291211,LIT,alt
2010-12-17,36.7367,36.7367,36.4419,36.5818,42980.238105845,LIT,alt
2010-12-20,36.9795,36.9795,36.5818,36.7197,79469.305337697,LIT,alt
2010-12-21,36.9795,37.3742,36.7367,37.2723,66024.595266586,LIT,alt
2010-12-22,37.4461,37.7039,37.0475,37.2013,54754.617589738,LIT,alt
2010-12-23,37.2723,37.3422,37.0984,37.2553,56565.059790024,LIT,alt
2010-12-27,37.0984,37.5311,37.0655,37.4461,50360.116925584,LIT,alt
2010-12-28,37.8588,38.3075,37.4082,38.1696,261583.37761177,LIT,alt
2010-12-29,38.5653,38.7051,37.9617,38.4783,199117.61731712,LIT,alt
2010-12-30,38.6682,39.0659,38.4783,38.896,154844.3491821,LIT,alt
2010-12-31,38.9799,39.6694,38.93,39.2387,158654.38426031,LIT,alt
2011-01-03,39.8073,40.8255,39.6884,40.7405,321408.0340001,LIT,alt
2011-01-04,41.0523,41.0523,39.4456,39.7553,224365.72999197,LIT,alt
2011-01-05,39.5864,39.7913,39.3087,39.5695,143731.49667134,LIT,alt
2011-01-06,39.6354,40.3448,38.6342,38.6342,219422.79244238,LIT,alt
2011-01-07,38.4463,38.878,38.0317,38.5153,67728.952959835,LIT,alt
2011-01-10,38.4643,39.0149,38.1186,38.5323,72478.73664284,LIT,alt
2011-01-11,39.0149,39.2897,38.7741,39.0149,113424.35396749,LIT,alt
2011-01-12,39.6534,39.7393,39.2387,39.7223,115477.98989617,LIT,alt
2011-01-13,40.2239,40.5347,39.3776,39.5864,137842.80573353,LIT,alt
2011-01-14,39.5495,39.5495,39.1878,39.4456,92871.981924888,LIT,alt
2011-01-18,39.6354,40.2589,39.5175,39.7223,115546.04410823,LIT,alt
2011-01-19,39.8073,40.0351,38.5153,38.5852,125464.94551621,LIT,alt
2011-01-20,38.4783,38.4783,36.9086,37.4951,193617.23570696,LIT,alt
2011-01-21,38.0657,38.0657,37.4082,37.4781,98183.212857401,LIT,alt
2011-01-24,37.669,37.9088,37.3242,37.7899,92739.876689709,LIT,alt
2011-01-25,37.7039,37.7379,37.2553,37.5311,76328.803610502,LIT,alt
2011-01-26,37.635,38.2065,37.635,38.1696,93333.349450776,LIT,alt
2011-01-27,38.2895,38.5503,38.0147,38.2565,55528.233853321,LIT,alt
2011-01-28,38.6682,38.7211,37.4282,37.4951,94476.259894516,LIT,alt
2011-01-31,37.9617,38.1876,37.5481,37.635,94989.668876687,LIT,alt
2011-02-01,37.8938,38.6872,37.8938,38.6342,106529.86180731,LIT,alt
2011-02-02,38.5852,38.825,38.3604,38.6872,140361.81237705,LIT,alt
2011-02-03,38.6512,38.6512,37.9787,38.5852,54663.545041244,LIT,alt
2011-02-04,38.7741,38.825,38.1356,38.4463,56714.178578218,LIT,alt
2011-02-07,38.859,39.1698,38.7901,38.9649,137226.31463604,LIT,alt
2011-02-08,39.3776,40.155,39.3256,40.101,147005.10443095,LIT,alt
2011-02-09,40.172,40.172,39.1698,39.3256,130709.1230339,LIT,alt
2011-02-10,39.2037,39.5345,38.825,39.3956,64757.585965557,LIT,alt
2011-02-11,39.3956,40.101,39.1698,40.0151,48814.885992891,LIT,alt
2011-02-14,40.3079,40.5846,40.188,40.2399,141027.34253912,LIT,alt
2011-02-15,40.3958,40.5667,39.8432,39.8602,109281.05340962,LIT,alt
2011-02-16,40.155,40.6176,40.0351,40.5157,101232.6420361,LIT,alt
2011-02-18,40.8255,40.9484,39.9272,40.0511,146080.3677847,LIT,alt
2011-02-22,39.6534,39.6534,38.0317,38.1356,212204.04197767,LIT,alt
2011-02-23,38.2215,38.2565,37.0475,37.653,163457.21019684,LIT,alt
2011-02-24,37.3742,37.9258,37.1504,37.669,118296.23491331,LIT,alt
2011-02-25,38.3934,38.7551,38.2565,38.7211,46903.363271749,LIT,alt
2011-02-28,39.2387,39.2737,38.6182,38.911,70204.925322194,LIT,alt
2011-03-01,38.8091,38.911,37.5311,37.7039,78663.663562556,LIT,alt
2011-03-02,37.5661,37.8408,37.4461,37.5311,84767.52590614,LIT,alt
2011-03-03,38.2215,39.0479,37.9088,38.9979,112126.31995214,LIT,alt
2011-03-04,39.1168,39.1878,38.2215,38.4973,109382.13393048,LIT,alt
2011-03-07,38.8091,38.8091,37.5311,37.8778,71233.744881007,LIT,alt
2011-03-08,37.8258,38.2725,37.5311,38.0836,54711.583308582,LIT,alt
2011-03-09,38.0657,38.0657,37.618,37.7729,41138.771191237,LIT,alt
2011-03-10,37.2723,37.2723,36.357,36.374,126204.53467376,LIT,alt
2011-03-11,36.0982,36.7557,35.7695,36.6878,98629.568424746,LIT,alt
2011-03-14,35.9094,36.1332,35.166,35.6676,101621.95216098,LIT,alt
2011-03-15,33.6132,35.0291,33.1835,34.9092,219030.47992579,LIT,alt
2011-03-16,35.063,35.3039,33.891,34.3746,160180.60004552,LIT,alt
2011-03-17,34.7363,35.2349,34.7363,34.8382,86767.118784068,LIT,alt
2011-03-18,35.6176,35.6176,35.2349,35.3568,68824.825933474,LIT,alt
2011-03-21,36.2531,36.6348,36.0632,36.5988,48362.525642129,LIT,alt
2011-03-22,36.7887,37.0295,36.6188,37.0295,36633.182033865,LIT,alt
2011-03-23,37.0475,37.1694,36.5139,37.0295,40327.124632679,LIT,alt
2011-03-24,37.2553,37.5141,37.1334,37.3242,53690.770127658,LIT,alt
2011-03-25,37.599,37.7039,37.3742,37.3922,38758.875363554,LIT,alt
2011-03-28,37.653,37.653,37.1334,37.1504,37139.585435382,LIT,alt
2011-03-29,37.0984,37.4781,36.9435,37.4461,41493.053412852,LIT,alt
2011-03-30,37.618,37.7549,36.9435,37.0655,48460.603771276,LIT,alt
