Date,Open,High,Low,Close,Volume,ticker,asset_class
2007-03-30,28.3899,28.4057,28.3821,28.3821,3533.8615257286,PFF,bond
2007-04-02,28.4177,28.4731,28.4177,28.4464,20666.725337858,PFF,bond
2007-04-03,28.4464,28.5196,28.4464,28.5196,8475.0040992958,PFF,bond
2007-04-04,28.5088,28.5196,28.4345,28.4345,12708.970266914,PFF,bond
2007-04-05,28.4731,28.4978,28.4602,28.481,12364.474332016,PFF,bond
2007-04-09,28.5088,28.5196,28.4394,28.5028,12708.970266914,PFF,bond
2007-04-10,28.5196,28.5434,28.481,28.5256,14836.560996813,PFF,bond
2007-04-11,28.5394,28.5394,28.4394,28.4731,14312.240204401,PFF,bond
2007-04-12,28.486,28.486,28.4394,28.4543,7421.3112544317,PFF,bond
2007-04-13,28.4394,28.4672,28.3118,28.4464,12186.66997852,PFF,bond
2007-04-16,28.481,28.4978,28.3691,28.4345,32498.796861396,PFF,bond
2007-04-17,28.4602,28.481,28.4177,28.4672,35854.854033628,PFF,bond
2007-04-18,28.4602,28.4731,28.4394,28.4602,16253.944564736,PFF,bond
2007-04-19,28.4731,28.4731,28.3821,28.3959,24559.226326604,PFF,bond
2007-04-20,28.4464,28.4672,28.4177,28.4672,8475.0040992958,PFF,bond
2007-04-23,28.4602,28.5028,28.3118,28.4394,21903.273796261,PFF,bond
2007-04-24,28.486,28.4928,28.4394,28.4602,35502.276082663,PFF,bond
2007-04-25,28.4464,28.5088,28.3899,28.4394,51746.118127313,PFF,bond
2007-04-26,28.4345,28.4543,28.4177,28.4464,23669.194307117,PFF,bond
2007-04-27,28.5146,28.5146,28.4543,28.486,13607.08430247,PFF,bond
2007-04-30,28.5028,28.5196,28.4928,28.4928,13070.640485956,PFF,bond
2007-05-01,28.3434,28.3434,28.283,28.3157,23669.194307117,PFF,bond
2007-05-02,28.3325,28.3821,28.3325,28.3821,20839.478431311,PFF,bond
2007-05-03,28.4226,28.4226,28.3821,28.4057,34625.377339285,PFF,bond
2007-05-04,28.4177,28.4177,28.3959,28.4019,58114.74678889,PFF,bond
2007-05-07,28.4295,28.4394,28.4019,28.4177,97848.968535153,PFF,bond
2007-05-08,28.4602,28.4672,28.4057,28.4602,43099.371186573,PFF,bond
2007-05-09,28.5088,28.5088,28.4394,28.4394,37263.145333475,PFF,bond
2007-05-10,28.481,28.481,28.4057,28.4057,18026.936839651,PFF,bond
2007-05-11,28.481,28.5256,28.481,28.5196,9715.5935657323,PFF,bond
2007-05-14,28.6167,28.6167,28.5761,28.5761,25083.547119015,PFF,bond
2007-05-15,28.5939,28.6305,28.5602,28.5651,16604.502011685,PFF,bond
2007-05-16,28.5602,28.5651,28.4464,28.4978,23136.791498638,PFF,bond
