Date,Open,High,Low,Close,Volume,ticker,asset_class
2009-03-25,22.746,22.765,22.575,22.746,30238,QAI,alt
2009-03-26,23.027,23.027,22.667,22.756,116507,QAI,alt
2009-03-27,22.712,22.712,22.44,22.548,55421,QAI,alt
2009-03-30,22.567,22.567,22.305,22.35,39313,QAI,alt
2009-03-31,22.575,22.575,22.394,22.494,76077,QAI,alt
2009-04-01,22.44,22.448,22.35,22.431,10601,QAI,alt
2009-04-02,22.394,23.027,22.394,22.676,12890,QAI,alt
2009-04-03,22.721,22.721,22.575,22.575,34786,QAI,alt
2009-04-06,22.648,22.684,22.558,22.684,15421,QAI,alt
2009-04-07,22.667,22.712,22.63,22.676,23137,QAI,alt
2009-04-08,22.712,22.712,22.575,22.693,15359,QAI,alt
2009-04-09,22.891,22.891,22.712,22.856,24829,QAI,alt
2009-04-13,22.891,22.919,22.712,22.919,25754,QAI,alt
2009-04-14,22.954,22.954,22.756,22.856,31229,QAI,alt
2009-04-15,22.737,22.891,22.737,22.891,12596,QAI,alt
2009-04-16,22.703,23.143,22.703,22.91,24227,QAI,alt
2009-04-17,22.983,22.983,22.8,22.928,17179,QAI,alt
2009-04-20,22.919,22.919,22.593,22.667,15688,QAI,alt
2009-04-21,22.676,22.783,22.667,22.783,8792,QAI,alt
2009-04-22,22.81,22.81,22.639,22.783,17762,QAI,alt
2009-04-23,22.783,22.8,22.693,22.8,11782,QAI,alt
2009-04-24,22.676,22.936,22.667,22.874,14867,QAI,alt
2009-04-27,22.874,22.874,22.667,22.721,15892,QAI,alt
2009-04-28,22.846,22.846,22.622,22.756,9710,QAI,alt
2009-04-29,22.928,22.928,22.792,22.856,66734,QAI,alt
2009-04-30,23.027,23.074,22.746,23.009,39245,QAI,alt
2009-05-01,22.919,22.991,22.901,22.974,10606,QAI,alt
2009-05-04,23.181,23.289,23.027,23.289,11729,QAI,alt
2009-05-05,23.479,23.479,23.143,23.262,24290,QAI,alt
2009-05-06,23.343,23.361,23.217,23.306,16415,QAI,alt
2009-05-07,23.46,23.46,23.198,23.361,37307,QAI,alt
2009-05-08,24.417,24.417,23.243,23.296,34882,QAI,alt
2009-05-11,23.296,23.296,23.126,23.235,16935,QAI,alt
2009-05-12,23.316,23.442,23.217,23.316,9781,QAI,alt
2009-05-13,23.296,23.335,23.162,23.235,22052,QAI,alt
2009-05-14,23.208,23.289,23.162,23.289,28630,QAI,alt
2009-05-15,23.262,23.262,23.198,23.243,7992,QAI,alt
2009-05-18,23.027,25.033,22.936,23.397,35091,QAI,alt
2009-05-19,23.434,23.479,23.335,23.442,32157,QAI,alt
2009-05-20,23.514,23.578,23.488,23.568,46345,QAI,alt
2009-05-21,23.542,23.542,23.352,23.397,40810,QAI,alt
2009-05-22,23.514,23.514,23.361,23.451,50036,QAI,alt
2009-05-26,23.389,23.407,23.296,23.389,22199,QAI,alt
2009-05-27,23.434,23.479,23.352,23.352,21301,QAI,alt
2009-05-28,23.479,24.13,23.46,23.831,26144,QAI,alt
2009-05-29,23.704,23.768,23.568,23.649,51848,QAI,alt
2009-06-01,23.867,23.867,23.568,23.722,24696,QAI,alt
2009-06-02,23.704,23.795,23.596,23.704,46719,QAI,alt
2009-06-03,23.749,23.749,23.434,23.532,30535,QAI,alt
2009-06-04,23.679,23.679,23.488,23.568,24889,QAI,alt
2009-06-05,23.568,23.587,23.495,23.568,41722,QAI,alt
2009-06-08,23.578,23.578,23.335,23.426,17326,QAI,alt
2009-06-09,23.343,23.488,23.343,23.479,26818,QAI,alt
2009-06-10,23.568,23.578,23.416,23.542,8629,QAI,alt
2009-06-11,23.524,23.686,23.504,23.649,19544,QAI,alt
2009-06-12,23.642,23.642,23.532,23.568,11240,QAI,alt
2009-06-15,23.649,23.649,23.434,23.479,25345,QAI,alt
2009-06-16,23.524,23.524,23.371,23.46,26858,QAI,alt
2009-06-17,23.479,23.479,23.343,23.416,13212,QAI,alt
2009-06-18,23.371,23.416,23.306,23.371,10611,QAI,alt
2009-06-19,23.389,23.407,23.306,23.371,73800,QAI,alt
2009-06-22,23.281,23.306,23.208,23.208,15958,QAI,alt
2009-06-23,23.296,23.306,23.162,23.262,57699,QAI,alt
2009-06-24,23.416,23.524,23.371,23.407,11617,QAI,alt
2009-06-25,23.434,23.46,23.352,23.451,8198,QAI,alt
2009-06-26,23.371,23.542,23.371,23.542,7898,QAI,alt
2009-06-29,23.587,23.596,23.495,23.596,9553,QAI,alt
2009-06-30,23.524,23.568,23.495,23.568,13594,QAI,alt
2009-07-01,23.434,23.624,23.434,23.542,5937,QAI,alt
2009-07-02,23.524,23.568,23.495,23.55,54949,QAI,alt
2009-07-06,23.479,23.504,23.426,23.495,3808,QAI,alt
2009-07-07,23.442,23.488,23.371,23.451,8804,QAI,alt
2009-07-08,23.451,23.479,23.296,23.434,13041,QAI,alt
2009-07-09,23.514,23.596,23.495,23.568,8762,QAI,alt
2009-07-10,23.326,23.434,23.326,23.389,28438,QAI,alt
2009-07-13,23.426,23.426,23.296,23.361,6581,QAI,alt
2009-07-14,23.442,23.442,23.361,23.426,87078,QAI,alt
2009-07-15,23.524,23.596,23.479,23.587,12896,QAI,alt
