Date,Open,High,Low,Close,Volume,ticker,asset_class
2012-02-22,40.1312,40.1312,40.1312,40.1312,615.88379955889,QLTA,bond
2012-02-23,40.2139,40.2139,40.1989,40.1989,1064.986668079,QLTA,bond
2012-02-24,40.2218,40.2317,40.2218,40.2317,400.87705713539,QLTA,bond
2012-02-27,40.2676,40.4497,40.2676,40.4497,1789.3785432535,QLTA,bond
2012-02-28,40.5263,40.5263,40.5263,40.5263,372.74533382765,QLTA,bond
2012-02-29,40.8081,40.8081,40.4657,40.5263,4170.5279803735,QLTA,bond
2012-03-02,40.4497,40.4497,40.3302,40.375,2299.7683804083,QLTA,bond
2012-03-05,40.5502,40.5572,40.4577,40.4577,1004.7044038481,QLTA,bond
2012-03-06,40.4427,40.4427,40.4427,40.4427,100.47044038481,QLTA,bond
2012-03-07,40.399,40.399,40.399,40.399,226.05849086582,QLTA,bond
2012-03-08,40.399,40.4348,40.399,40.4348,1624.6070210224,QLTA,bond
2012-03-09,40.4885,40.4885,40.399,40.4258,11084.903687656,QLTA,bond
2012-03-12,40.4805,40.4805,40.2845,40.4179,10364.530630097,QLTA,bond
2012-03-13,40.2069,40.2407,40.175,40.2407,10707.134831809,QLTA,bond
2012-03-14,40.1312,40.1312,40.0306,40.0306,2749.8759533323,QLTA,bond
2012-03-15,39.8833,39.8833,39.7848,39.8545,4775.36003149,QLTA,bond
2012-03-16,39.744,39.7998,39.7022,39.7998,11738.966254561,QLTA,bond
2012-03-19,39.9113,39.9192,39.8465,39.9192,3325.5715767372,QLTA,bond
2012-03-20,39.8217,39.8217,39.8217,39.8217,1136.3206807522,QLTA,bond
2012-03-21,39.6783,39.8376,39.6783,39.8376,1941.0889082345,QLTA,bond
2012-03-22,39.9988,40.0088,39.9889,40.0088,5497.7424978568,QLTA,bond
2012-03-23,40.0306,40.0306,39.9889,39.9889,907.24807667484,QLTA,bond
2012-03-26,39.9013,39.9889,39.9013,39.9889,19064.266063017,QLTA,bond
2012-03-27,40.0646,40.0794,40.0238,40.0794,6480.3434048203,QLTA,bond
2012-03-28,40.0794,40.0794,40.0306,40.0715,1893.8678012537,QLTA,bond
2012-03-29,40.0158,40.0158,39.967,40.0088,2497.6951479664,QLTA,bond
2012-03-30,40.0804,40.0804,39.8715,39.8715,6383.8917820509,QLTA,bond
2012-04-02,39.761,39.8645,39.761,39.8645,1004.7044038481,QLTA,bond
2012-04-03,39.7918,39.8735,39.7082,39.7082,6066.4051904349,QLTA,bond
2012-04-04,39.7768,39.7768,39.7202,39.7202,3387.8632497758,QLTA,bond
2012-04-05,39.8645,39.8645,39.8645,39.8645,121.56923286562,QLTA,bond
2012-04-10,39.8833,40.1014,39.8833,40.1014,4129.3350998157,QLTA,bond
2012-04-11,39.957,40.0088,39.957,40.0088,2997.0332366789,QLTA,bond
2012-04-17,39.9988,39.9988,39.957,39.957,563.63917055879,QLTA,bond
2012-04-18,39.9351,40.1014,39.9351,40.1014,1248.8475739832,QLTA,bond
2012-04-19,40.1451,40.1451,40.0238,40.0238,1401.5626433681,QLTA,bond
2012-04-20,40.1173,40.1173,40.1173,40.1173,1391.5155993296,QLTA,bond
2012-04-23,40.1173,40.1372,40.0486,40.1372,1004.7044038481,QLTA,bond
2012-04-24,40.1819,40.1819,40.1819,40.1819,381.78767346228,QLTA,bond
2012-04-25,40.1451,40.1451,40.1451,40.1451,2941.7744944673,QLTA,bond
2012-04-26,40.1521,40.2676,40.1521,40.1671,1373.4309200604,QLTA,bond
2012-04-27,40.2894,40.4079,40.2755,40.2755,990.63854219423,QLTA,bond
2012-04-30,40.3661,40.3661,40.3661,40.3661,1741.1527318688,QLTA,bond
2012-05-01,40.3392,40.3392,40.3392,40.3392,615.88379955889,QLTA,bond
2012-05-02,40.3392,40.3392,40.3302,40.3392,889.16339740557,QLTA,bond
2012-05-03,40.2317,40.3064,40.1989,40.2676,291196.49148051,QLTA,bond
2012-05-04,40.3214,40.375,40.2407,40.3492,344150.44178973,QLTA,bond
2012-05-07,40.3492,40.4577,40.3134,40.4427,19728.375673962,QLTA,bond
2012-05-08,40.4427,40.4497,40.2755,40.4497,51695.055691197,QLTA,bond
2012-05-09,40.4657,40.4657,40.2845,40.399,208860.96558515,QLTA,bond
2012-05-10,40.391,40.391,40.3064,40.391,36457.708702436,QLTA,bond
2012-05-11,40.375,40.4179,40.3064,40.4179,13545.424772681,QLTA,bond
2012-05-14,40.5035,40.5035,40.4079,40.5035,18816.104075267,QLTA,bond
2012-05-15,40.4577,40.4885,40.375,40.4885,20181.497360097,QLTA,bond
2012-05-16,40.4427,40.4497,40.1819,40.2994,70314.237703309,QLTA,bond
2012-05-17,40.1014,40.2139,40.0854,40.1014,17101.073657898,QLTA,bond
2012-05-18,40.1014,40.2139,39.973,40.2139,21542.871827311,QLTA,bond
2012-05-21,37.9952,40.175,37.9952,40.1093,5751.9327120304,QLTA,bond
2012-05-22,40.1173,40.1173,39.9391,40.0794,19674.121636154,QLTA,bond
2012-05-23,40.0715,40.1989,40.0238,40.1372,35268.13868828,QLTA,bond
2012-05-24,40.1093,40.1591,39.9889,40.0646,29214.794655095,QLTA,bond
2012-05-25,39.967,40.1232,39.967,40.1232,10837.746404309,QLTA,bond
2012-05-29,40.1312,40.2407,40.0158,40.2407,18946.715647767,QLTA,bond
2012-05-30,40.2845,40.3064,40.1989,40.2894,36012.624651531,QLTA,bond
2012-05-31,40.4736,40.5194,40.3204,40.3482,17624.524652304,QLTA,bond
2012-06-01,40.4348,40.5105,40.3392,40.3392,35245.030486992,QLTA,bond
2012-06-04,40.5851,40.5851,40.3562,40.3562,75450.286615781,QLTA,bond
2012-06-05,40.4039,40.4765,40.3362,40.396,14475.781050643,QLTA,bond
2012-06-06,40.391,40.399,40.2407,40.2407,20350.287699943,QLTA,bond
2012-06-07,40.4497,40.4577,40.4497,40.4577,504.36161073175,QLTA,bond
2012-06-08,40.4726,40.4955,40.4726,40.4955,865.05049171322,QLTA,bond
