Date,Open,High,Low,Close,Volume,ticker,asset_class
2009-12-11,2.79564,2.80258,2.78185,2.78708,551188.10865685,SCHG,equity
2009-12-14,2.82134,2.82925,2.81049,2.82677,1061405.4246712,SCHG,equity
2009-12-15,2.81934,2.83365,2.81492,2.81784,549931.33587641,SCHG,equity
2009-12-16,2.83365,2.84354,2.82554,2.828,687864.17558302,SCHG,equity
2009-12-17,2.83025,2.83025,2.79371,2.79371,1378744.6058391,SCHG,equity
2009-12-18,2.81784,2.82034,2.79689,2.81367,238198.98295159,SCHG,equity
2009-12-21,2.83265,2.85784,2.828,2.84453,315299.96597897,SCHG,equity
2009-12-22,2.85784,2.88721,2.8566,2.86549,2458721.8889207,SCHG,equity
2009-12-23,2.8763,2.88841,2.85982,2.88005,4314663.1194943,SCHG,equity
2009-12-24,2.88624,2.89606,2.88624,2.89606,403720.01224182,SCHG,equity
2009-12-28,2.90227,2.90447,2.89066,2.89286,869163.78442644,SCHG,equity
2009-12-29,2.90227,2.90227,2.89188,2.89286,437883.96134121,SCHG,equity
2009-12-30,2.88354,2.89408,2.88104,2.89408,452450.36327711,SCHG,equity
2009-12-31,2.90127,2.90127,2.86082,2.86082,816176.62236062,SCHG,equity
2010-01-04,2.88721,2.91208,2.88721,2.90868,546035.34025702,SCHG,equity
2010-01-05,2.91456,2.92147,2.90027,2.9168,422474.30541065,SCHG,equity
2010-01-06,2.9168,2.92589,2.91308,2.91456,329250.1438419,SCHG,equity
2010-01-07,2.91556,2.92467,2.90127,2.92345,584646.64335685,SCHG,equity
2010-01-08,2.92147,2.94315,2.91208,2.94221,540266.34778423,SCHG,equity
2010-01-11,2.95556,2.95556,2.92589,2.94315,802279.14787235,SCHG,equity
2010-01-12,2.92345,2.92345,2.89286,2.90127,897542.52463002,SCHG,equity
2010-01-13,2.90868,2.93481,2.89066,2.93112,327462.28320907,SCHG,equity
2010-01-14,2.92589,2.93901,2.92245,2.93778,609336.147334,SCHG,equity
2010-01-15,2.94025,2.94025,2.89756,2.90669,799271.00141079,SCHG,equity
2010-01-19,2.91456,2.94315,2.90669,2.94221,1115503.4117107,SCHG,equity
2010-01-20,2.92689,2.92689,2.88524,2.90768,904981.8086691,SCHG,equity
2010-01-21,2.91456,2.92345,2.85982,2.86649,829603.82058264,SCHG,equity
2010-01-22,2.8566,2.8566,2.7893,2.79491,1053512.0807889,SCHG,equity
2010-01-25,2.81592,2.82481,2.79811,2.80558,625682.3016912,SCHG,equity
2010-01-26,2.79491,2.82925,2.78385,2.80036,740137.81503799,SCHG,equity
2010-01-27,2.80158,2.81492,2.77423,2.81247,246777.47070456,SCHG,equity
2010-01-28,2.81247,2.81367,2.74954,2.76884,384896.79927537,SCHG,equity
2010-01-29,2.78185,2.79271,2.72709,2.73376,368639.83524446,SCHG,equity
2010-02-01,2.74634,2.77002,2.74487,2.77002,270360.20381373,SCHG,equity
2010-02-02,2.78185,2.80558,2.77423,2.80558,2782884.1300546,SCHG,equity
2010-02-03,2.79491,2.80558,2.7893,2.79689,339750.27771722,SCHG,equity
2010-02-04,2.77523,2.77523,2.70269,2.70711,565073.42082785,SCHG,equity
2010-02-05,2.71503,2.71975,2.66174,2.71975,1259797.1433287,SCHG,equity
2010-02-08,2.72172,2.7375,2.70591,2.70591,509005.1383971,SCHG,equity
2010-02-09,2.73626,2.75871,2.71653,2.73626,553344.89291229,SCHG,equity
2010-02-10,2.7385,2.74387,2.70907,2.72808,315372.93988235,SCHG,equity
2010-02-11,2.73028,2.77299,2.71503,2.771,786780.30161549,SCHG,equity
2010-02-12,2.74732,2.76884,2.73376,2.76884,237063.83334345,SCHG,equity
2010-02-16,2.79371,2.81247,2.78061,2.80806,240051.70927631,SCHG,equity
2010-02-17,2.82554,2.82925,2.81367,2.82925,339539.46421857,SCHG,equity
2010-02-18,2.82554,2.84995,2.82554,2.84553,1226237.2559851,SCHG,equity
2010-02-19,2.83812,2.85982,2.83365,2.8546,208425.6303723,SCHG,equity
2010-02-22,2.86746,2.86871,2.84156,2.84453,443774.57698633,SCHG,equity
