Date,Open,High,Low,Close,Volume,ticker,asset_class
2022-10-13,23.3721,23.4374,23.3668,23.4322,21054.052075687,SCMB,bond
2022-10-14,23.428,23.5599,23.3908,23.4248,35807.007752876,SCMB,bond
2022-10-17,23.5364,23.574,23.48,23.48,26094.503300847,SCMB,bond
2022-10-18,23.5458,23.5504,23.48,23.5062,211196.39696192,SCMB,bond
2022-10-19,23.4471,23.4659,23.3955,23.4002,42976.927176244,SCMB,bond
2022-10-20,23.3886,23.4049,23.3248,23.3248,125331.98027376,SCMB,bond
2022-10-21,23.3109,23.3109,23.1983,23.1992,123196.12367096,SCMB,bond
2022-10-24,23.1842,23.1888,23.0646,23.0646,129633.50603414,SCMB,bond
2022-10-25,23.1466,23.1466,23.015,23.0258,105182.95218231,SCMB,bond
2022-10-26,23.1091,23.1091,22.9916,23.0386,412384.29339226,SCMB,bond
2022-10-27,23.0339,23.0762,23.0339,23.0479,24565.545134533,SCMB,bond
2022-10-28,23.0339,23.057,23.02,23.057,137274.03792931,SCMB,bond
2022-10-31,23.1044,23.1044,23.0292,23.0499,53771.201472963,SCMB,bond
2022-11-01,23.1672,23.1672,23.0919,23.1342,62629.835776085,SCMB,bond
2022-11-02,23.1295,23.2236,23.1295,23.1826,125827.50632253,SCMB,bond
2022-11-03,23.0919,23.1482,23.0919,23.1346,17692.200204464,SCMB,bond
2022-11-04,23.1012,23.1711,23.1012,23.1154,232784.60846015,SCMB,bond
2022-11-07,23.1482,23.1482,23.0961,23.12,216583.24036812,SCMB,bond
2022-11-08,23.1812,23.233,23.1812,23.1812,67733.96854333,SCMB,bond
2022-11-09,23.2046,23.2466,23.2,23.2282,33589.447052446,SCMB,bond
2022-11-10,23.5196,23.5718,23.4446,23.5718,99445.520081827,SCMB,bond
2022-11-11,23.585,23.5973,23.5758,23.5761,7596.6509352499,SCMB,bond
2022-11-14,23.6373,23.6373,23.5385,23.5385,17211.561035548,SCMB,bond
2022-11-15,23.6186,23.6891,23.6186,23.6514,15829.191744419,SCMB,bond
2022-11-16,23.7454,23.8536,23.7342,23.8348,151450.2528141,SCMB,bond
2022-11-17,23.8396,23.8959,23.8348,23.8882,179927.06021135,SCMB,bond
2022-11-18,24.0135,24.0135,23.8677,23.8818,121112.56367878,SCMB,bond
2022-11-21,23.9711,24.0041,23.9478,23.9806,52100.435221655,SCMB,bond
2022-11-22,24.0276,24.0418,23.999,24.0418,24723.143091344,SCMB,bond
2022-11-23,24.1169,24.1217,24.0652,24.1076,75945.242132635,SCMB,bond
2022-11-25,24.1028,24.1593,24.1028,24.1118,60566.915449323,SCMB,bond
2022-11-28,24.1302,24.1302,24.0912,24.1047,80911.137970768,SCMB,bond
2022-11-29,24.1922,24.197,24.1309,24.197,64816.105978055,SCMB,bond
2022-11-30,24.197,24.3002,24.197,24.2956,77791.236816789,SCMB,bond
2022-12-01,24.3094,24.366,24.2952,24.3611,89741.58574173,SCMB,bond
2022-12-02,24.3189,24.4368,24.3189,24.366,113626.42875206,SCMB,bond
2022-12-05,24.3566,24.446,24.3325,24.3472,88646.943322924,SCMB,bond
2022-12-06,24.3684,24.413,24.3684,24.3754,28422.517688289,SCMB,bond
2022-12-07,24.4082,24.4557,24.3801,24.4444,52844.074907843,SCMB,bond
2022-12-08,24.5123,24.5688,24.398,24.413,148633.77215348,SCMB,bond
2022-12-09,24.4178,24.4602,24.3849,24.4178,261899.56289934,SCMB,bond
2022-12-12,24.4838,24.4838,24.3708,24.3708,85774.567673578,SCMB,bond
2022-12-13,24.5216,24.5546,24.4276,24.449,99710.044512984,SCMB,bond
2022-12-14,24.4698,24.5123,24.4079,24.4625,55309.141750192,SCMB,bond
2022-12-15,24.4886,24.4934,24.4524,24.4602,64804.52831332,SCMB,bond
2022-12-16,24.4408,24.4598,24.3983,24.4078,116393.80560825,SCMB,bond
2022-12-19,24.3983,24.4644,24.2614,24.3464,267863.25351985,SCMB,bond
2022-12-20,24.3464,24.3464,24.2379,24.2992,299464.99099975,SCMB,bond
2022-12-21,24.2898,24.2898,24.252,24.2708,26950.811887502,SCMB,bond
2022-12-22,24.2756,24.3228,24.2661,24.2779,48130.834897041,SCMB,bond
2022-12-23,24.2379,24.3181,24.233,24.2756,50000.096298083,SCMB,bond
2022-12-27,24.233,24.2656,24.1881,24.2425,102341.53247108,SCMB,bond
2022-12-28,24.2568,24.2568,24.2023,24.2046,108537.82705868,SCMB,bond
2022-12-29,24.2094,24.2379,24.2094,24.233,37482.607436973,SCMB,bond
2022-12-30,24.2282,24.2448,24.1934,24.233,48175.290717451,SCMB,bond
2023-01-03,24.2945,24.2945,24.259,24.2708,110730.98086557,SCMB,bond
2023-01-04,24.4032,24.4785,24.3654,24.3936,121161.16311125,SCMB,bond
2023-01-05,24.3794,24.4266,24.3724,24.3981,33231.784228262,SCMB,bond
2023-01-06,24.4125,24.5094,24.3794,24.4975,59553.863798538,SCMB,bond
