Date,Open,High,Low,Close,Volume,ticker,asset_class
2008-04-15,189.99,190.94,189.02,190.94,13338,TAN,alt
2008-04-16,198.52,201.67,196.67,200.4,164909,TAN,alt
2008-04-17,197.69,199.9,190.2,193.22,91152,TAN,alt
2008-04-18,195.57,197.78,192.93,195.42,51153,TAN,alt
2008-04-21,197.04,198.52,193.57,197.78,41208,TAN,alt
2008-04-22,199.98,202.17,197.69,199.3,46654,TAN,alt
2008-04-23,202.7,202.85,197.34,197.78,65860,TAN,alt
2008-04-24,199.3,199.3,189.31,195.49,48128,TAN,alt
2008-04-25,194.25,194.62,189.68,194.17,38105,TAN,alt
2008-04-28,195.49,195.57,192.48,193.65,25198,TAN,alt
2008-04-29,192.93,192.93,188.21,189.99,33850,TAN,alt
2008-04-30,194.17,195.07,190.42,192.17,53338,TAN,alt
2008-05-01,192.1,192.1,182.86,187.34,37813,TAN,alt
2008-05-02,190.35,190.35,186.81,189.68,32743,TAN,alt
2008-05-05,190.64,190.64,186.81,188.51,10433,TAN,alt
2008-05-06,186.81,193.57,183.82,192.48,33818,TAN,alt
2008-05-07,195.27,195.49,187.56,188.21,20514,TAN,alt
2008-05-08,192.25,192.7,189.75,191.38,21856,TAN,alt
2008-05-09,192.17,194.32,190.2,193.44,29137,TAN,alt
2008-05-12,194.84,196.3,190.78,195.72,18404,TAN,alt
2008-05-13,198.44,203.29,196.01,201.9,33752,TAN,alt
2008-05-14,205.49,215.35,204.03,211.96,125508,TAN,alt
2008-05-15,213.13,213.73,206.75,211.75,73889,TAN,alt
2008-05-16,213.66,216.98,211.38,216.83,83598,TAN,alt
2008-05-19,220.49,226.38,213.95,216.52,131799,TAN,alt
2008-05-20,214.69,215.58,211.45,215.43,54004,TAN,alt
2008-05-21,220.27,221.0,213.07,214.47,58337,TAN,alt
2008-05-22,219.31,219.38,210.05,211.01,84430,TAN,alt
2008-05-23,210.79,214.61,208.86,214.61,22676,TAN,alt
2008-05-27,209.53,210.19,202.33,207.54,43250,TAN,alt
2008-05-28,204.03,207.7,200.34,207.7,52420,TAN,alt
2008-05-29,200.57,200.57,193.14,194.54,62289,TAN,alt
2008-05-30,202.85,206.23,202.17,204.4,40275,TAN,alt
2008-06-02,208.44,211.16,205.86,208.51,30706,TAN,alt
2008-06-03,210.56,211.16,205.86,208.72,28262,TAN,alt
2008-06-04,206.45,206.45,202.4,203.59,16948,TAN,alt
2008-06-05,202.17,208.8,202.17,208.8,23668,TAN,alt
2008-06-06,206.23,211.16,203.51,204.4,31051,TAN,alt
2008-06-09,205.13,205.13,195.13,198.0,38817,TAN,alt
2008-06-10,194.76,194.76,189.46,192.17,59196,TAN,alt
2008-06-11,193.73,194.84,189.82,191.59,31832,TAN,alt
2008-06-12,193.14,195.93,189.75,190.86,16883,TAN,alt
2008-06-13,187.84,197.54,187.84,197.04,12047,TAN,alt
2008-06-16,198.29,207.42,198.0,207.11,23851,TAN,alt
2008-06-17,211.16,215.35,210.27,211.01,65172,TAN,alt
2008-06-18,211.01,211.01,204.83,210.56,32230,TAN,alt
2008-06-19,213.07,213.73,208.94,213.07,25475,TAN,alt
2008-06-20,211.45,212.4,204.17,205.07,21391,TAN,alt
2008-06-23,209.31,211.01,206.23,209.01,42790,TAN,alt
2008-06-24,207.34,209.53,203.72,206.98,44540,TAN,alt
2008-06-25,210.56,210.56,204.48,209.69,15029,TAN,alt
2008-06-26,208.0,208.0,195.87,197.78,55334,TAN,alt
2008-06-27,193.01,198.29,190.28,191.88,35595,TAN,alt
2008-06-30,190.28,195.65,189.23,189.68,20555,TAN,alt
2008-07-01,186.17,186.96,176.37,180.64,59135,TAN,alt
2008-07-02,181.0,181.0,166.02,166.97,63823,TAN,alt
2008-07-03,168.06,169.61,161.9,167.79,32254,TAN,alt
2008-07-07,175.93,176.96,169.25,173.88,27379,TAN,alt
2008-07-08,173.29,173.29,165.49,172.26,31894,TAN,alt
2008-07-09,175.06,176.52,168.13,169.02,29412,TAN,alt
2008-07-10,169.25,172.77,166.08,171.89,19603,TAN,alt
2008-07-11,165.42,173.74,165.42,172.18,20176,TAN,alt
2008-07-14,175.13,176.23,172.26,174.62,10657,TAN,alt
2008-07-15,172.71,174.55,165.7,172.26,15258,TAN,alt
2008-07-16,173.8,180.14,173.52,179.39,53191,TAN,alt
2008-07-17,183.95,184.47,177.19,177.92,55379,TAN,alt
2008-07-18,177.19,178.88,174.33,175.93,16834,TAN,alt
2008-07-21,181.96,181.96,177.56,180.79,21732,TAN,alt
2008-07-22,178.81,178.81,172.77,175.27,27794,TAN,alt
2008-07-23,178.14,178.14,173.0,173.15,18512,TAN,alt
2008-07-24,171.97,171.97,161.53,162.13,65620,TAN,alt
2008-07-25,161.53,166.02,161.53,163.53,33887,TAN,alt
2008-07-28,165.42,167.64,163.67,163.96,29294,TAN,alt
2008-07-29,164.76,174.48,164.62,174.25,49418,TAN,alt
2008-07-30,175.57,176.37,172.77,176.37,30414,TAN,alt
2008-07-31,178.81,179.39,172.77,173.52,21548,TAN,alt
2008-08-01,176.45,176.45,170.36,170.59,13440,TAN,alt
2008-08-04,175.35,175.35,166.15,166.81,9271,TAN,alt
2008-08-05,166.15,168.58,160.14,168.37,18119,TAN,alt
2008-08-06,168.42,171.32,166.89,170.73,18202,TAN,alt
2008-08-07,169.09,170.66,167.99,168.42,9094,TAN,alt
2008-08-08,168.29,168.29,165.42,165.87,9006,TAN,alt
2008-08-11,161.45,167.93,161.45,163.22,27408,TAN,alt
2008-08-12,165.87,170.21,165.87,167.71,20488,TAN,alt
2008-08-13,168.58,170.42,164.85,169.33,9892,TAN,alt
2008-08-14,169.33,170.85,166.89,170.59,5747,TAN,alt
2008-08-15,172.92,177.92,172.92,177.33,29335,TAN,alt
2008-08-18,180.86,180.86,173.08,173.95,19823,TAN,alt
2008-08-19,175.71,176.88,173.15,176.6,9333,TAN,alt
2008-08-20,179.83,188.44,178.57,188.44,49756,TAN,alt
2008-08-21,186.81,189.75,184.91,189.15,40520,TAN,alt
2008-08-22,191.16,193.44,187.77,192.93,24531,TAN,alt
2008-08-25,194.62,194.69,187.56,189.23,20795,TAN,alt
2008-08-26,190.2,190.28,183.82,185.28,26412,TAN,alt
2008-08-27,186.45,191.16,183.95,189.75,18446,TAN,alt
2008-08-28,193.01,193.01,188.58,191.88,14574,TAN,alt
2008-08-29,192.41,194.76,190.72,193.22,20477,TAN,alt
2008-09-02,190.86,190.86,180.14,182.34,23161,TAN,alt
2008-09-03,181.24,181.24,170.94,173.0,44220,TAN,alt
2008-09-04,173.0,174.97,165.87,167.33,28955,TAN,alt
2008-09-05,164.85,167.71,158.36,167.04,31505,TAN,alt
2008-09-08,170.59,171.59,157.19,161.68,31133,TAN,alt
2008-09-09,158.88,158.88,141.17,142.64,59122,TAN,alt
2008-09-10,139.84,148.5,139.84,147.33,42338,TAN,alt
2008-09-11,141.09,149.1,139.18,144.61,46680,TAN,alt
2008-09-12,151.38,156.23,146.08,155.05,19981,TAN,alt
2008-09-15,141.53,148.95,134.24,141.23,28573,TAN,alt
2008-09-16,134.53,146.68,131.53,146.68,46788,TAN,alt
2008-09-17,145.56,149.17,136.09,146.3,57463,TAN,alt
2008-09-18,139.04,151.38,139.04,150.72,29902,TAN,alt
2008-09-19,161.68,162.85,154.41,161.37,27577,TAN,alt
2008-09-22,158.58,160.35,154.6,154.6,11648,TAN,alt
2008-09-23,148.15,156.3,148.07,148.5,15485,TAN,alt
2008-09-24,159.91,161.9,154.11,154.69,34629,TAN,alt
2008-09-25,157.72,161.01,155.49,159.48,16614,TAN,alt
2008-09-26,152.78,152.78,146.68,148.5,32371,TAN,alt
2008-09-29,141.9,141.9,119.19,122.5,57796,TAN,alt
2008-09-30,127.34,133.08,124.98,131.9,36846,TAN,alt
2008-10-01,138.15,139.1,133.08,137.85,31744,TAN,alt
2008-10-02,136.15,136.15,122.26,122.99,40968,TAN,alt
2008-10-03,124.02,133.36,116.16,116.91,58745,TAN,alt
2008-10-06,110.3,110.64,97.706,106.84,48414,TAN,alt
2008-10-07,102.79,103.65,87.491,89.256,46579,TAN,alt
2008-10-08,79.036,93.598,79.036,89.256,46312,TAN,alt
2008-10-09,91.455,97.415,81.609,84.402,25110,TAN,alt
2008-10-10,74.624,86.829,73.595,85.872,34142,TAN,alt
2008-10-13,95.506,101.45,91.537,101.45,36098,TAN,alt
2008-10-14,110.23,110.23,92.849,97.346,39404,TAN,alt
2008-10-15,91.455,91.537,82.565,84.77,20854,TAN,alt
2008-10-16,88.153,89.184,79.036,88.888,17252,TAN,alt
2008-10-17,86.388,92.849,82.786,88.962,21210,TAN,alt
2008-10-20,89.695,93.96,88.3,93.812,14807,TAN,alt
2008-10-21,90.871,92.048,87.491,89.032,19636,TAN,alt
2008-10-22,84.551,84.551,77.199,79.185,19072,TAN,alt
2008-10-23,76.39,77.344,68.154,71.685,28182,TAN,alt
2008-10-24,62.127,68.229,60.654,67.347,39897,TAN,alt
2008-10-27,65.95,65.95,59.552,59.552,33223,TAN,alt
2008-10-28,64.478,64.478,57.126,62.787,25572,TAN,alt
