Date,Open,High,Low,Close,Volume,ticker,asset_class
2009-09-09,41.4266,41.4742,41.4186,41.4514,1385.522978865,TIPZ,bond
2009-09-11,41.7667,41.849,41.7241,41.7241,1924.00134183,TIPZ,bond
2009-09-14,41.6259,41.7489,41.617,41.6358,2212.399865815,TIPZ,bond
2009-09-15,41.5505,41.6507,41.5505,41.6358,2166.01408923,TIPZ,bond
2009-09-16,41.5257,41.7161,41.5257,41.7023,7694.9969808725,TIPZ,bond
2009-09-17,41.6765,41.7092,41.5337,41.6765,14093.20899026,TIPZ,bond
2009-09-18,41.6438,41.6507,41.5505,41.5505,1214.09728279,TIPZ,bond
2009-09-21,41.5099,41.5099,41.4831,41.4831,1911.90070446,TIPZ,bond
2009-09-22,41.6259,41.6685,41.6259,41.6586,2767.01241194,TIPZ,bond
2009-09-23,41.6438,41.6438,41.6438,41.6438,594.948004025,TIPZ,bond
2009-09-24,41.7985,41.7985,41.6685,41.7023,6059.3941630275,TIPZ,bond
2009-09-28,41.8153,41.8758,41.7578,41.8758,3093.72962093,TIPZ,bond
2009-09-29,41.7816,41.8669,41.7578,41.7747,8934.30392485,TIPZ,bond
2009-09-30,41.9512,41.975,41.9115,41.975,14051.865145912,TIPZ,bond
2009-10-01,42.0732,42.1465,42.0732,42.1465,4162.61925528,TIPZ,bond
2009-10-05,42.0404,42.0404,41.975,42.0156,2435.2532707125,TIPZ,bond
2009-10-06,41.9115,42.0156,41.9115,41.9829,4555.889969805,TIPZ,bond
2009-10-08,42.0642,42.0642,42.0642,42.0642,106.888963435,TIPZ,bond
2009-10-09,41.968,41.9908,41.8857,41.8857,2191.2237504175,TIPZ,bond
2009-10-12,41.9988,41.9988,41.9988,41.9988,564.6964106,TIPZ,bond
2009-10-14,42.2348,42.2348,42.091,42.091,1556.94867494,TIPZ,bond
2009-10-15,42.0315,42.1386,42.0216,42.1158,3845.985910765,TIPZ,bond
2009-10-16,42.1971,42.2606,42.1971,42.2606,342.85139215,TIPZ,bond
2009-10-19,42.2606,42.4232,42.2606,42.3816,599.9899362625,TIPZ,bond
2009-10-20,42.7217,42.7217,42.5323,42.5323,2168.030862125,TIPZ,bond
2009-10-21,42.4411,42.4411,42.3131,42.3647,3118.9392821175,TIPZ,bond
2009-10-22,42.1812,42.1812,42.091,42.091,5609.6538074425,TIPZ,bond
2009-10-23,42.0821,42.097,42.0821,42.091,920.6568265675,TIPZ,bond
2009-10-26,41.968,42.0156,41.8857,41.9413,2415.0855417625,TIPZ,bond
2009-10-27,42.0216,42.216,42.0216,42.216,1623.502180475,TIPZ,bond
2009-10-28,42.2745,42.3201,42.2507,42.2745,4307.82690372,TIPZ,bond
2009-10-29,42.1733,42.2348,42.1069,42.2348,1800.978195235,TIPZ,bond
2009-10-30,42.2606,42.3647,42.216,42.3647,7330.969473325,TIPZ,bond
2009-11-02,42.4639,42.4639,42.4064,42.4064,1022.503857765,TIPZ,bond
2009-11-03,42.2973,42.2973,42.2973,42.2973,133.10701107,TIPZ,bond
2009-11-04,42.3379,42.3895,42.33,42.3895,2412.06038242,TIPZ,bond
2009-11-05,42.4232,42.4559,42.4064,42.4153,952.9251928875,TIPZ,bond
2009-11-06,42.4232,42.5502,42.4232,42.5502,2818.4401207625,TIPZ,bond
2009-11-09,42.7485,42.7802,42.7485,42.7485,9908.405233135,TIPZ,bond
2009-11-10,42.8903,42.8903,42.6662,42.6662,4551.856424015,TIPZ,bond
2009-11-11,42.7396,42.8734,42.7217,42.8576,27939.363300882,TIPZ,bond
2009-11-12,42.6573,42.6741,42.5164,42.6493,16273.340489755,TIPZ,bond
2009-11-13,42.6573,42.692,42.5888,42.692,25021.092921817,TIPZ,bond
2009-11-16,42.8397,43.0817,42.692,43.0817,6559.5538409875,TIPZ,bond
2009-11-17,42.9726,43.1233,42.9726,43.1233,21126.704461572,TIPZ,bond
2009-11-18,43.2562,43.2562,43.0817,43.0886,22129.040590387,TIPZ,bond
2009-11-19,43.1471,43.2334,43.0817,43.0817,2651.0479704775,TIPZ,bond
2009-11-20,43.2334,43.2334,43.045,43.0976,12343.658503847,TIPZ,bond
2009-11-23,43.1233,43.1551,43.1233,43.1551,4093.0405904025,TIPZ,bond
2009-11-24,43.1789,43.2334,43.162,43.2334,3203.6437437075,TIPZ,bond
2009-11-25,43.1977,43.3614,43.1471,43.3614,6749.1304931175,TIPZ,bond
2009-11-27,43.3306,43.407,43.3306,43.407,2481.6390472975,TIPZ,bond
2009-11-30,43.3475,43.3475,43.2493,43.3128,4214.0469641025,TIPZ,bond
2009-12-01,43.3306,43.3306,43.3306,43.3306,643.350553505,TIPZ,bond
2009-12-02,43.4337,43.4337,43.2642,43.2642,13517.420328737,TIPZ,bond
2009-12-03,43.1977,43.2334,43.1977,43.2245,7821.04528681,TIPZ,bond
2009-12-04,43.0361,43.0361,42.8219,42.8219,13116.082522632,TIPZ,bond
2009-12-07,42.8219,42.9151,42.8219,42.9151,2353.573968465,TIPZ,bond
2009-12-08,42.929,42.929,42.929,42.929,227.895337135,TIPZ,bond
2009-12-09,42.8814,42.8814,42.6325,42.7088,7153.493458565,TIPZ,bond
2009-12-10,42.5601,42.6067,42.4986,42.6067,2258.7856424,TIPZ,bond
2009-12-11,42.5164,42.5809,42.3984,42.5809,4063.797383425,TIPZ,bond
2009-12-14,42.6573,42.7088,42.6573,42.6999,6040.234820525,TIPZ,bond
2009-12-15,42.7138,42.7802,42.6662,42.7217,6772.32338141,TIPZ,bond
2009-12-16,42.8219,42.8903,42.7802,42.8139,2818.4401207625,TIPZ,bond
2009-12-17,42.9637,43.0133,42.9448,43.0053,4884.62395169,TIPZ,bond
2009-12-18,42.9448,42.9726,42.9151,42.9151,2464.49647769,TIPZ,bond
2009-12-21,42.692,42.7564,42.6662,42.6662,3762.2898356225,TIPZ,bond
2009-12-22,42.6493,42.6493,42.565,42.573,1622.4937940275,TIPZ,bond
2009-12-23,42.6067,42.6146,42.5085,42.5254,4758.5756457525,TIPZ,bond
2009-12-24,42.4559,42.4559,42.4153,42.4153,3728.0046964075,TIPZ,bond
2009-12-28,42.3469,42.3816,42.3469,42.3736,1323.00301912,TIPZ,bond
2009-12-29,42.4411,42.4728,42.3568,42.4639,9742.0214692975,TIPZ,bond
2009-12-30,42.4728,42.573,42.4728,42.573,7600.2086548075,TIPZ,bond
2009-12-31,42.4153,42.4986,42.3895,42.4064,12036.10063736,TIPZ,bond
2010-01-04,42.5888,42.5888,42.4986,42.4986,1794.92787655,TIPZ,bond
2010-01-05,42.7138,42.7316,42.6999,42.7088,2957.5974505175,TIPZ,bond
2010-01-06,42.6146,42.6662,42.6146,42.6146,1048.7219054,TIPZ,bond
2010-01-07,42.5888,42.7564,42.5888,42.7316,9093.628983555,TIPZ,bond
2010-01-08,42.8397,42.8397,42.7088,42.7485,5599.5699429675,TIPZ,bond
2010-01-11,42.7723,42.7723,42.7088,42.7088,3004.99161355,TIPZ,bond
2010-01-12,42.929,42.9448,42.929,42.9448,1445.0177792675,TIPZ,bond
2010-01-13,42.7901,42.8139,42.692,42.692,3676.576987585,TIPZ,bond
2010-01-14,42.8139,42.8139,42.7802,42.7802,894.4387789325,TIPZ,bond
2010-01-15,42.9448,42.9448,42.808,42.8139,1605.35122442,TIPZ,bond
2010-01-19,42.8487,42.8982,42.7564,42.8903,2463.4880912425,TIPZ,bond
2010-01-20,42.9905,42.9974,42.9448,42.9448,2184.165045285,TIPZ,bond
2010-01-21,42.9448,43.0133,42.9448,43.0053,976.11808118,TIPZ,bond
2010-01-22,42.9726,42.9974,42.8814,42.9805,2766.0040254925,TIPZ,bond
2010-01-25,42.922,42.9974,42.922,42.9974,10975.27809459,TIPZ,bond
2010-01-26,42.9548,43.0053,42.8734,43.0053,5013.69741697,TIPZ,bond
2010-01-27,42.9448,42.9448,42.9369,42.9369,517.3022475675,TIPZ,bond
2010-01-28,42.8814,42.9637,42.8814,42.9637,6277.2056356875,TIPZ,bond
2010-01-29,42.8903,43.0291,42.8903,43.0291,1463.1687353225,TIPZ,bond
2010-02-01,42.9726,43.0549,42.9726,43.0549,1397.623616235,TIPZ,bond
2010-02-02,43.1233,43.1233,43.0202,43.0202,7836.1710835225,TIPZ,bond
2010-02-03,42.8982,42.9726,42.8982,42.9726,1141.49345857,TIPZ,bond
2010-02-04,42.9548,43.0976,42.9369,43.0718,1642.6615229775,TIPZ,bond
2010-02-05,43.0361,43.0549,42.8903,42.8903,8334.3139885875,TIPZ,bond
2010-02-08,42.929,42.929,42.9072,42.929,3988.1683998625,TIPZ,bond
2010-02-09,42.9905,42.9905,42.7802,42.808,2250.71855082,TIPZ,bond
2010-02-10,42.8734,42.8734,42.5254,42.6235,4369.3384770175,TIPZ,bond
2010-02-11,42.5254,42.5412,42.4559,42.5323,2380.8004025475,TIPZ,bond
2010-02-12,42.565,42.565,42.4639,42.4639,3208.685675945,TIPZ,bond
2010-02-16,42.4728,42.6741,42.448,42.6573,21188.21603487,TIPZ,bond
2010-02-17,42.6999,42.6999,42.565,42.6394,836.960751425,TIPZ,bond
2010-02-18,42.5978,42.5978,42.4064,42.4907,9141.0231465875,TIPZ,bond
2010-02-19,42.33,42.3895,42.33,42.3736,600.99832271,TIPZ,bond
2010-02-22,42.3895,42.3984,42.3131,42.3131,4322.9527004325,TIPZ,bond
2010-02-23,42.4559,42.4559,42.3984,42.3984,13576.91512914,TIPZ,bond
2010-02-24,42.4728,42.4728,42.3816,42.4232,7547.7725595375,TIPZ,bond
2010-02-25,42.4986,42.4986,42.3736,42.4728,25399.23783963,TIPZ,bond
2010-02-26,42.4728,42.5809,42.4559,42.5323,5837.5491445775,TIPZ,bond
2010-03-01,42.448,42.448,42.4153,42.4153,2040.97416974,TIPZ,bond
2010-03-02,42.4907,42.4907,42.4639,42.4639,2528.0248238825,TIPZ,bond
2010-03-03,42.5085,42.5164,42.4728,42.4907,3159.2747400175,TIPZ,bond
2010-03-04,42.4559,42.6662,42.448,42.6325,4145.4766856725,TIPZ,bond
2010-03-05,42.5164,42.5254,42.3895,42.5085,4107.1580006675,TIPZ,bond
2010-03-08,42.4064,42.5323,42.4064,42.4321,12380.968802405,TIPZ,bond
2010-03-09,42.5164,42.5323,42.4728,42.5323,1565.01576652,TIPZ,bond
2010-03-10,42.3736,42.3736,42.3736,42.3736,362.0107346525,TIPZ,bond
2010-03-11,42.4232,42.5601,42.4232,42.5323,3539.436430725,TIPZ,bond
2010-03-12,42.6573,42.6662,42.5978,42.6235,2040.97416974,TIPZ,bond
2010-03-15,42.6394,42.6573,42.6325,42.6573,1665.85441127,TIPZ,bond
2010-03-16,42.7316,42.7654,42.7138,42.7654,78873.971150555,TIPZ,bond
2010-03-17,42.8219,42.8219,42.8219,42.8219,366.0442804425,TIPZ,bond
2010-03-18,42.8318,42.8318,42.7802,42.7802,7517.5209661125,TIPZ,bond
2010-03-19,42.7217,42.7217,42.6662,42.683,14554.041596767,TIPZ,bond
2010-03-22,42.7217,42.7217,42.683,42.683,30736.627306247,TIPZ,bond
2010-03-23,42.6741,42.7396,42.6741,42.6741,3109.86380409,TIPZ,bond
2010-03-24,42.5085,42.5085,42.3062,42.33,48348.096611835,TIPZ,bond
2010-03-25,42.3201,42.3469,42.2507,42.3131,25669.48540756,TIPZ,bond
2010-03-26,42.2814,42.3647,42.2814,42.3568,4043.629654475,TIPZ,bond
2010-03-29,42.3469,42.3469,42.216,42.2973,2815.41496142,TIPZ,bond
