Date,Open,High,Low,Close,Volume,ticker,asset_class
2009-11-23,47.0016,47.0016,47.0016,47.0016,103.19,VCLT,bond
2009-11-25,47.167,47.3021,47.1602,47.3021,6381.46,VCLT,bond
2009-11-27,47.3657,47.3657,47.3657,47.3657,483.258,VCLT,bond
2009-11-30,47.2953,47.4548,47.2953,47.4548,1774.67,VCLT,bond
2009-12-01,47.2785,47.3079,47.2256,47.2738,109527.0,VCLT,bond
2009-12-02,47.4176,47.4176,47.3941,47.3941,25012.9,VCLT,bond
2009-12-03,46.9458,47.0016,46.9458,47.0016,14447.6,VCLT,bond
2009-12-04,46.883,46.883,46.883,46.883,263.595,VCLT,bond
2009-12-07,46.89,46.89,46.7785,46.8783,1500.86,VCLT,bond
2009-12-08,47.0877,47.0877,46.9672,47.0016,11208.9,VCLT,bond
2009-12-09,47.0877,47.0877,46.8352,46.9047,15685.9,VCLT,bond
2009-12-10,46.6934,46.8235,46.663,46.8235,12769.0,VCLT,bond
2009-12-11,46.5904,46.6404,46.5798,46.6404,3511.54,VCLT,bond
2009-12-14,46.7373,46.7491,46.7373,46.7491,23310.8,VCLT,bond
2009-12-16,46.9194,46.9194,46.7541,46.7541,501.649,VCLT,bond
2009-12-21,46.5798,46.5798,46.5798,46.5798,103.19,VCLT,bond
2009-12-22,46.4486,46.4741,46.4252,46.4741,2305.95,VCLT,bond
2009-12-23,46.6238,46.6238,46.6179,46.6179,1390.51,VCLT,bond
2009-12-24,46.1324,46.1324,45.9092,45.9092,635.49,VCLT,bond
2009-12-28,45.8623,45.8751,45.7438,45.825,2856.64,VCLT,bond
2009-12-29,46.014,46.1451,45.928,46.1451,1481.44,VCLT,bond
2009-12-30,46.3125,46.3125,46.1775,46.2852,9732.6,VCLT,bond
2009-12-31,46.1627,46.3517,46.1627,46.3517,1293.45,VCLT,bond
2010-01-04,46.3449,46.3449,46.1696,46.2666,9741.79,VCLT,bond
2010-01-05,46.7647,46.89,46.6562,46.8352,24145.5,VCLT,bond
2010-01-06,46.8402,46.8402,46.521,46.5484,15567.4,VCLT,bond
2010-01-07,46.5269,46.5484,46.5269,46.5484,442.391,VCLT,bond
2010-01-08,46.4113,46.5798,46.3684,46.5798,4144.98,VCLT,bond
2010-01-11,46.5866,46.5904,46.5269,46.572,1803.28,VCLT,bond
2010-01-12,47.3129,47.3129,46.7588,46.7892,1607.11,VCLT,bond
2010-01-13,47.0279,47.0279,46.4985,46.4985,3517.67,VCLT,bond
2010-01-14,46.7716,46.8185,46.5866,46.8185,1757.3,VCLT,bond
2010-01-15,47.0075,47.0477,46.9303,46.9303,9347.42,VCLT,bond
2010-01-19,46.9303,47.0075,46.3566,46.7148,164033.0,VCLT,bond
2010-01-20,46.7785,46.9672,46.7785,46.8402,2413.22,VCLT,bond
2010-01-21,46.9388,47.5136,46.9234,47.2953,8206.2,VCLT,bond
2010-01-22,47.1444,47.1553,46.8235,46.8666,5366.92,VCLT,bond
2010-01-25,46.89,47.0144,46.89,46.9388,6756.42,VCLT,bond
2010-01-26,46.8606,46.89,46.7148,46.7148,10188.2,VCLT,bond
2010-01-27,46.7647,46.847,46.5269,46.6346,21902.9,VCLT,bond
2010-01-28,46.7491,46.7491,46.5904,46.5904,1485.53,VCLT,bond
2010-01-29,46.4603,46.4671,46.4603,46.4671,4264.52,VCLT,bond
2010-02-01,46.4603,46.5826,46.4603,46.5826,3839.5,VCLT,bond
2010-02-02,46.5826,46.6346,46.5826,46.6346,1286.3,VCLT,bond
2010-02-03,46.5798,46.5866,46.3684,46.3684,2521.52,VCLT,bond
2010-02-04,46.2109,46.5798,46.1393,46.5347,11354.0,VCLT,bond
2010-02-05,46.3224,46.4182,46.3224,46.4182,1947.33,VCLT,bond
2010-02-08,46.6238,46.6238,46.3331,46.5074,1776.71,VCLT,bond
2010-02-09,46.2177,46.2244,46.1696,46.1696,2632.89,VCLT,bond
2010-02-10,46.2244,46.2588,45.8389,45.8966,11842.3,VCLT,bond
2010-02-11,45.8966,45.928,45.825,45.825,1338.41,VCLT,bond
2010-02-12,45.8682,45.8751,45.7831,45.832,6081.08,VCLT,bond
2010-02-16,45.7243,45.7909,45.6254,45.7909,1027.81,VCLT,bond
2010-02-17,45.9485,45.9485,45.5932,45.7831,1535.59,VCLT,bond
2010-02-18,45.9485,45.9485,45.3749,45.6851,6154.65,VCLT,bond
2010-02-19,45.596,45.7371,45.596,45.6656,72614.4,VCLT,bond
2010-02-22,45.6656,46.0737,45.6656,45.922,3470.67,VCLT,bond
2010-02-23,46.1324,46.1627,45.9092,46.1571,11470.4,VCLT,bond
2010-02-24,46.4926,46.4926,46.3664,46.3664,732.55,VCLT,bond
2010-02-25,46.7491,46.7491,46.3184,46.611,11426.5,VCLT,bond
2010-02-26,46.6472,46.8,46.6472,46.8,970.604,VCLT,bond
2010-03-01,46.7854,46.7854,46.7079,46.7285,1440.58,VCLT,bond
2010-03-02,46.6825,46.7588,46.6562,46.7373,6950.54,VCLT,bond
2010-03-03,46.6472,46.7217,46.3664,46.663,5116.61,VCLT,bond
2010-03-04,46.7285,46.7285,46.7285,46.7285,617.099,VCLT,bond
2010-03-05,46.6346,46.6346,46.2734,46.565,3858.91,VCLT,bond
2010-03-08,46.2734,46.6776,46.2734,46.6776,1135.09,VCLT,bond
2010-03-09,46.3184,46.5798,46.3184,46.5798,3749.59,VCLT,bond
2010-03-10,46.6024,46.6024,46.4741,46.4926,6589.89,VCLT,bond
2010-03-11,46.4252,46.5866,46.2039,46.5866,3388.94,VCLT,bond
2010-03-12,46.663,46.8352,46.5866,46.8273,2778.99,VCLT,bond
2010-03-15,46.89,46.89,46.7491,46.7941,2934.28,VCLT,bond
2010-03-16,46.9458,46.9458,46.9458,46.9458,962.43,VCLT,bond
2010-03-17,47.3961,47.3961,46.9986,47.2121,10551.9,VCLT,bond
2010-03-18,47.4714,47.4714,47.4714,47.4714,624.251,VCLT,bond
2010-03-19,47.2894,47.3266,47.2894,47.3266,787.721,VCLT,bond
2010-03-22,47.3941,47.3941,47.3343,47.3343,1439.55,VCLT,bond
2010-03-23,47.4019,47.4019,47.3129,47.3129,447.499,VCLT,bond
2010-03-24,46.847,47.0144,46.7148,46.7148,2205.82,VCLT,bond
2010-03-25,46.5904,46.5904,46.2039,46.2039,2132.26,VCLT,bond
2010-03-26,46.5798,46.6776,46.3958,46.4536,20133.3,VCLT,bond
2010-03-29,46.5954,46.5954,46.2498,46.5798,5319.93,VCLT,bond
2010-03-30,46.4671,46.5798,46.4407,46.4741,4912.27,VCLT,bond
2010-03-31,46.5269,46.6238,46.5142,46.5826,2578.74,VCLT,bond
2010-04-01,46.4671,46.6472,46.4486,46.6024,3446.15,VCLT,bond
2010-04-05,46.1451,46.3262,45.8682,46.1147,8763.02,VCLT,bond
2010-04-06,46.2109,46.2588,46.2109,46.2588,3328.66,VCLT,bond
2010-04-07,46.2039,46.7285,46.2039,46.7285,1581.57,VCLT,bond
2010-04-08,46.6697,46.7079,46.4046,46.6238,3224.44,VCLT,bond
2010-04-09,46.6472,46.7892,46.6024,46.7541,4784.56,VCLT,bond
