Date,Open,High,Low,Close,Volume,ticker,asset_class
2015-08-25,43.6084,43.7191,43.557,43.6608,31994.805278115,VTEB,bond
2015-08-26,43.6173,43.8665,43.5994,43.5994,132338.0597071,VTEB,bond
2015-08-27,43.5994,43.633,43.5755,43.5994,33598.03301724,VTEB,bond
2015-08-28,43.6776,43.6776,43.5845,43.5935,15708.801428768,VTEB,bond
2015-08-31,43.6855,43.6855,43.557,43.5845,40594.211568624,VTEB,bond
2015-09-01,43.6766,43.6766,43.546,43.556,49749.592169675,VTEB,bond
2015-09-02,43.5371,43.5984,43.4538,43.4688,27513.652335146,VTEB,bond
2015-09-03,43.556,43.6419,43.556,43.6074,120477.61136967,VTEB,bond
2015-09-04,43.5925,43.6163,43.556,43.5984,28317.287929474,VTEB,bond
2015-09-08,43.546,43.546,43.444,43.4688,51241.625046692,VTEB,bond
2015-09-09,43.4014,43.4926,43.3936,43.4538,120707.07713056,VTEB,bond
2015-09-10,43.4628,43.4628,43.4014,43.4372,70390.391164138,VTEB,bond
2015-09-11,43.4688,43.4926,43.4628,43.4768,26253.10694379,VTEB,bond
2015-09-14,43.4926,43.4926,43.4538,43.4688,9285.7818484331,VTEB,bond
2015-09-15,43.4284,43.4284,43.2908,43.3095,20177.824023141,VTEB,bond
2015-09-16,43.362,43.362,43.3165,43.3244,14096.475928194,VTEB,bond
2015-09-17,43.3936,43.5122,43.3789,43.5122,4246.6328701576,VTEB,bond
2015-09-18,43.5649,43.6262,43.5371,43.5984,18226.85962433,VTEB,bond
2015-09-21,43.5025,43.5025,43.4372,43.4768,51700.556568485,VTEB,bond
2015-09-22,43.6163,43.6686,43.5835,43.6419,16738.870196843,VTEB,bond
2015-09-23,43.6262,43.6686,43.6262,43.6518,19031.506081041,VTEB,bond
2015-09-24,43.7132,43.728,43.6419,43.6766,26868.722134917,VTEB,bond
2015-09-25,43.6855,43.6944,43.6518,43.6855,28200.02789307,VTEB,bond
2015-09-28,43.7032,43.7636,43.6855,43.7636,189248.60099656,VTEB,bond
2015-09-29,43.812,43.8478,43.7834,43.8299,34850.491509533,VTEB,bond
2015-09-30,43.82,43.8299,43.8032,43.8299,15017.371558929,VTEB,bond
2015-10-01,43.8714,43.8714,43.8081,43.8527,24034.264013537,VTEB,bond
2015-10-02,43.9645,43.9724,43.911,43.9289,17624.385644179,VTEB,bond
2015-10-05,43.9199,43.9199,43.8259,43.8893,93793.877050806,VTEB,bond
2015-10-06,43.9199,43.9377,43.8813,43.9289,34225.778556962,VTEB,bond
2015-10-07,43.8625,43.911,43.8348,43.8893,37658.667208962,VTEB,bond
2015-10-08,43.9289,43.9289,43.8625,43.8813,43719.798056251,VTEB,bond
2015-10-09,43.8714,43.8813,43.816,43.8438,22318.830549919,VTEB,bond
2015-10-12,43.911,43.9377,43.8714,43.9377,13251.394976171,VTEB,bond
2015-10-13,43.9476,43.9476,43.911,43.9289,4000.9933111363,VTEB,bond
2015-10-14,43.9377,44.0139,43.8973,44.0139,29076.44557896,VTEB,bond
2015-10-15,43.9289,43.9377,43.8714,43.8973,37309.919686894,VTEB,bond
2015-10-16,43.9476,43.9476,43.8973,43.8973,43380.14829563,VTEB,bond
2015-10-19,43.9476,43.9476,43.8973,43.903,13624.403195426,VTEB,bond
2015-10-20,43.903,43.903,43.8813,43.8893,12121.250832197,VTEB,bond
2015-10-21,43.9724,44.0139,43.9476,43.996,14306.735303819,VTEB,bond
2015-10-22,43.9803,43.996,43.9377,43.9565,164021.51937132,VTEB,bond
2015-10-23,43.9289,43.9476,43.903,43.9289,134829.8354807,VTEB,bond
2015-10-26,44.0328,44.0328,44.0059,44.0239,39487.317259453,VTEB,bond
2015-10-27,44.0515,44.0713,44.0239,44.0415,24261.708049666,VTEB,bond
2015-10-28,44.0882,44.0882,43.9892,43.996,26785.831419527,VTEB,bond
2015-10-29,44.0613,44.0613,43.9565,43.9803,48529.481273631,VTEB,bond
2015-10-30,44.0239,44.0515,44.0139,44.0515,52536.539759064,VTEB,bond
2015-11-02,43.993,44.0209,43.9704,43.9704,38823.180673951,VTEB,bond
2015-11-03,44.0029,44.0029,43.9259,43.9447,29721.375779188,VTEB,bond
2015-11-04,43.9704,44.0109,43.8596,43.9783,104552.48539097,VTEB,bond
2015-11-05,44.0029,44.0029,43.9347,43.9704,27433.794206904,VTEB,bond
2015-11-06,43.7577,43.902,43.741,43.813,76814.421606855,VTEB,bond
2015-11-09,43.8497,43.8685,43.7666,43.8319,104455.44260223,VTEB,bond
2015-11-10,43.8497,43.908,43.7964,43.8596,47551.97734946,VTEB,bond
2015-11-11,43.8319,43.8497,43.7964,43.8408,42633.120994738,VTEB,bond
2015-11-12,43.8685,43.908,43.813,43.8685,41490.84650217,VTEB,bond
2015-11-13,43.9259,43.9259,43.8497,43.917,21831.594881408,VTEB,bond
2015-11-16,43.9783,43.9862,43.908,43.9615,41151.196741548,VTEB,bond
2015-11-17,43.9535,43.993,43.908,43.9615,52353.573667776,VTEB,bond
2015-11-18,44.0029,44.0029,43.9535,43.9615,65378.535470199,VTEB,bond
2015-11-19,44.0209,44.0209,43.9862,43.993,44008.904697733,VTEB,bond
2015-11-20,44.1277,44.1277,44.0583,44.0853,47210.305864072,VTEB,bond
2015-11-23,44.197,44.197,44.0853,44.1048,109390.4727551,VTEB,bond
2015-11-24,44.1376,44.1623,44.095,44.1524,56006.830319229,VTEB,bond
2015-11-25,44.1712,44.2247,44.1712,44.1781,71437.644592724,VTEB,bond
2015-11-27,44.2335,44.2335,44.197,44.197,42410.731270521,VTEB,bond
2015-11-30,44.2068,44.2247,44.1712,44.2068,56578.978427896,VTEB,bond
2015-12-01,44.2355,44.3314,44.2177,44.287,92977.100245501,VTEB,bond
2015-12-02,44.2682,44.3047,44.2177,44.277,27919.00815065,VTEB,bond
2015-12-03,44.2434,44.2434,44.1386,44.1642,73236.979634114,VTEB,bond
2015-12-04,44.2355,44.2592,44.18,44.2355,76308.990415454,VTEB,bond
2015-12-07,44.2177,44.3047,44.1386,44.2177,46951.525094074,VTEB,bond
2015-12-08,44.3749,44.3749,44.2434,44.287,79886.432388196,VTEB,bond
2015-12-09,44.3235,44.3494,44.2513,44.277,74815.946676054,VTEB,bond
2015-12-10,44.3047,44.3494,44.2434,44.3394,78138.651328328,VTEB,bond
2015-12-11,44.4848,44.5827,44.4452,44.5462,64430.34655513,VTEB,bond
2015-12-14,44.461,44.461,44.3146,44.3749,50316.685966427,VTEB,bond
2015-12-15,44.4283,44.4283,44.3394,44.3928,46148.900362128,VTEB,bond
2015-12-16,44.3394,44.3928,44.295,44.3839,79621.586443901,VTEB,bond
2015-12-17,44.5007,44.5095,44.4195,44.5095,301349.19579994,VTEB,bond
